Team_1,Team_2,Team1_Score,Team2_Score,Team1_Raid_Points,Team2_Raid_Points,Team1_Tackle_Points,Team2_Tackle_Points,Team1_AllOut_Points,Team2_AllOut_Points,Team1_Extra_Points,Team2_Extra_Points,Season,Winner
Bengaluru Bulls,Puneri Paltan,31,26,18,15,7,7,2,2,4,2,2,1
Bengal Warriors,Dabang Delhi,21,32,8,12,11,13,0,4,2,3,2,2
Jaipur Pink Panthers,Patna Pirates,23,29,15,14,7,11,0,2,1,2,2,2
Telugu Titans,U Mumba,26,27,13,14,11,11,2,2,0,0,2,2
Dabang Delhi,Bengaluru Bulls,18,33,10,14,7,14,0,4,1,1,2,2
Jaipur Pink Panthers,Telugu Titans,22,33,16,18,4,11,0,4,2,0,2,2
Jaipur Pink Panthers,Bengaluru Bulls,36,23,16,9,15,8,4,2,1,4,2,1
Puneri Paltan,Bengal Warriors,33,29,14,16,11,7,4,2,4,4,2,1
Jaipur Pink Panthers,Dabang Delhi,27,35,14,13,9,17,0,4,4,1,2,2
Patna Pirates,Telugu Titans,22,34,10,19,12,11,0,4,0,0,2,2
Telugu Titans,Bengaluru Bulls,21,35,13,13,6,14,0,4,2,4,2,2
Patna Pirates,Dabang Delhi,39,22,17,15,15,5,4,0,3,2,2,1
Dabang Delhi,U Mumba,22,27,9,12,13,11,0,2,0,2,2,2
Patna Pirates,Puneri Paltan,32,28,18,17,11,8,2,2,1,1,2,1
Puneri Paltan,Jaipur Pink Panthers,29,35,20,20,7,11,0,2,2,2,2,2
Patna Pirates,Bengal Warriors,20,20,9,10,10,7,0,0,1,3,2,0
Telugu Titans,Jaipur Pink Panthers,39,39,26,26,11,6,2,4,0,3,2,0
U Mumba,Dabang Delhi,29,25,14,11,12,11,2,2,1,1,2,1
Telugu Titans,Bengal Warriors,44,28,22,21,16,4,4,0,2,3,2,1
Bengal Warriors,Bengaluru Bulls,22,33,10,18,10,10,0,4,2,1,2,2
Telugu Titans,Patna Pirates,54,32,29,21,15,6,8,2,2,3,2,1
Jaipur Pink Panthers,U Mumba,35,25,12,10,16,14,2,0,5,1,2,1
Telugu Titans,Puneri Paltan,29,29,18,16,9,10,2,2,0,1,2,0
Dabang Delhi,Bengal Warriors,17,20,7,8,9,12,0,0,1,0,2,2
Patna Pirates,Bengaluru Bulls,30,28,11,16,16,5,2,2,1,5,2,1
U Mumba,Bengal Warriors,31,17,16,9,8,5,4,2,3,1,2,1
Dabang Delhi,Patna Pirates,45,26,23,16,15,7,6,0,1,3,2,1
Dabang Delhi,Jaipur Pink Panthers,21,51,12,28,8,12,0,10,1,1,2,2
Jaipur Pink Panthers,Puneri Paltan,31,18,15,11,12,6,4,0,0,1,2,1
Dabang Delhi,Telugu Titans,45,45,34,35,7,9,4,0,0,1,2,0
Bengaluru Bulls,U Mumba,29,36,16,12,10,19,0,4,3,1,2,2
Bengal Warriors,Puneri Paltan,31,28,14,11,10,12,2,0,5,5,2,1
Bengaluru Bulls,Jaipur Pink Panthers,25,27,12,11,7,13,2,2,4,1,2,2
Bengal Warriors,Patna Pirates,32,34,20,21,9,10,2,2,1,1,2,2
Bengaluru Bulls,Dabang Delhi,40,21,20,15,14,6,6,0,0,0,2,1
Patna Pirates,U Mumba,27,32,13,15,11,12,2,4,1,1,2,2
Bengaluru Bulls,Telugu Titans,43,29,18,18,15,9,6,2,4,0,2,1
Puneri Paltan,Dabang Delhi,33,28,18,16,11,9,4,2,0,1,2,1
Jaipur Pink Panthers,Bengal Warriors,38,39,25,19,4,16,2,4,7,0,2,2
Puneri Paltan,U Mumba,34,39,18,18,11,16,2,4,3,1,2,2
U Mumba,Telugu Titans,25,46,19,27,6,12,0,6,0,1,2,2
Puneri Paltan,Patna Pirates,21,38,9,14,10,13,0,6,2,5,2,2
Patna Pirates,Jaipur Pink Panthers,26,24,10,12,13,12,2,0,1,0,2,1
Puneri Paltan,Bengaluru Bulls,30,31,20,16,8,9,2,2,0,4,2,2
Telugu Titans,Bengaluru Bulls,38,39,21,20,15,13,2,4,0,2,2,2
U Mumba,Patna Pirates,35,18,13,9,18,8,4,0,0,1,2,1
Patna Pirates,Telugu Titans,26,34,15,19,10,7,0,4,1,4,2,2
U Mumba,Bengaluru Bulls,36,30,17,18,14,10,4,2,1,0,2,1
Telugu Titans,U Mumba,25,27,16,15,6,7,2,2,1,3,3,2
Dabang Delhi,Bengaluru Bulls,29,35,19,18,5,11,2,4,3,2,3,2
Jaipur Pink Panthers,U Mumba,27,18,10,9,12,9,2,0,3,0,3,1
Telugu Titans,Puneri Paltan,27,26,13,11,10,11,0,2,4,2,3,1
Patna Pirates,Jaipur Pink Panthers,29,28,14,16,13,9,2,0,0,3,3,1
Telugu Titans,Dabang Delhi,45,34,26,27,14,4,4,2,1,1,3,1
Telugu Titans,Bengal Warriors,17,25,9,11,7,10,0,2,1,2,3,2
Bengaluru Bulls,Patna Pirates,24,33,17,18,5,11,0,2,2,2,3,2
Dabang Delhi,Puneri Paltan,20,38,13,20,6,13,0,4,1,1,3,2
Bengaluru Bulls,Bengal Warriors,24,34,12,18,9,10,2,4,1,2,3,2
Dabang Delhi,U Mumba,17,30,7,13,9,11,0,4,1,2,3,2
Bengaluru Bulls,Jaipur Pink Panthers,36,26,16,18,13,4,6,2,1,2,3,1
U Mumba,Patna Pirates,26,40,16,18,7,14,0,4,3,4,3,2
Bengaluru Bulls,Telugu Titans,26,35,16,16,6,13,0,2,4,4,3,2
Bengal Warriors,Puneri Paltan,33,28,18,14,9,9,4,2,2,3,3,1
Jaipur Pink Panthers,Dabang Delhi,39,34,22,20,8,11,4,2,5,1,3,1
Patna Pirates,Telugu Titans,29,25,16,20,9,4,2,0,2,1,3,1
Bengal Warriors,Dabang Delhi,34,17,16,10,9,6,4,0,5,1,3,1
Bengal Warriors,Patna Pirates,31,36,18,23,11,9,0,4,2,0,3,2
U Mumba,Bengaluru Bulls,29,28,13,13,12,9,2,4,2,2,3,1
Bengal Warriors,Jaipur Pink Panthers,34,20,17,12,10,5,4,0,3,3,3,1
Puneri Paltan,Patna Pirates,30,30,16,17,10,9,2,2,2,2,3,0
Patna Pirates,Dabang Delhi,47,34,25,25,12,5,6,2,4,2,3,1
Puneri Paltan,Jaipur Pink Panthers,32,32,21,21,8,7,2,2,1,2,3,0
Jaipur Pink Panthers,Telugu Titans,25,27,13,14,11,10,0,2,1,1,3,2
Puneri Paltan,U Mumba,27,29,14,15,8,10,2,2,3,2,3,2
U Mumba,Bengal Warriors,32,21,15,16,10,4,4,0,3,1,3,1
Puneri Paltan,Bengaluru Bulls,29,27,17,17,10,6,2,2,0,2,3,1
Patna Pirates,Bengal Warriors,32,27,17,15,10,8,2,2,3,2,3,1
Telugu Titans,Jaipur Pink Panthers,26,35,0,0,0,0,0,0,0,0,3,2
Patna Pirates,Bengaluru Bulls,36,32,24,21,9,5,2,4,1,2,3,1
Bengaluru Bulls,Dabang Delhi,21,35,11,15,7,14,0,4,3,2,3,2
Patna Pirates,Puneri Paltan,28,28,15,14,10,11,2,2,1,1,3,0
Bengal Warriors,Telugu Titans,32,28,0,0,0,0,0,0,0,0,3,1
Patna Pirates,U Mumba,28,34,16,15,8,13,2,4,2,2,3,2
Jaipur Pink Panthers,Bengaluru Bulls,30,21,15,13,9,7,4,0,2,1,3,1
Puneri Paltan,Dabang Delhi,32,22,13,9,15,10,4,0,0,3,3,1
Telugu Titans,Bengaluru Bulls,40,22,0,0,0,0,0,0,0,0,3,1
Jaipur Pink Panthers,Puneri Paltan,18,33,13,10,3,17,0,4,2,2,3,2
Jaipur Pink Panthers,Bengal Warriors,18,34,5,15,10,14,0,4,3,1,3,2
Bengal Warriors,U Mumba,17,30,5,12,10,12,0,4,2,2,3,2
Jaipur Pink Panthers,Patna Pirates,24,47,13,23,7,14,2,8,2,2,3,2
Dabang Delhi,Telugu Titans,36,44,0,0,0,0,0,0,0,0,3,2
Bengaluru Bulls,U Mumba,18,39,10,18,5,14,0,6,3,1,3,2
Dabang Delhi,Patna Pirates,34,67,25,34,7,20,0,10,2,3,3,2
Puneri Paltan,Telugu Titans,41,24,0,0,0,0,0,0,0,0,3,1
Dabang Delhi,Jaipur Pink Panthers,21,21,8,10,11,11,2,0,0,0,3,0
Bengaluru Bulls,Puneri Paltan,27,44,17,25,7,10,2,6,1,3,3,2
Dabang Delhi,Bengal Warriors,31,37,22,28,5,6,2,2,2,1,3,2
U Mumba,Jaipur Pink Panthers,35,21,18,11,10,7,6,2,1,1,3,1
Telugu Titans,Patna Pirates,42,41,0,0,0,0,0,0,0,0,3,1
U Mumba,Puneri Paltan,30,27,19,11,9,14,2,2,0,0,3,1
Bengal Warriors,Bengaluru Bulls,26,22,15,10,11,8,0,0,0,4,3,1
U Mumba,Telugu Titans,38,22,0,0,0,0,0,0,0,0,3,1
Puneri Paltan,Bengal Warriors,43,19,24,11,13,7,6,0,0,1,3,1
U Mumba,Dabang Delhi,36,20,21,9,10,9,4,0,1,2,3,1
Patna Pirates,Puneri Paltan,40,21,18,11,15,8,6,2,1,0,3,1
U Mumba,Bengal Warriors,41,29,0,0,0,0,0,0,0,0,3,1
Bengal Warriors,Puneri Paltan,27,31,0,0,0,0,0,0,0,0,3,2
U Mumba,Patna Pirates,28,31,14,16,11,12,2,2,1,1,3,2
Puneri Paltan,Telugu Titans,28,24,8,9,2,3,0,10,2,3,4,1
U Mumba,Jaipur Pink Panthers,36,34,17,19,8,7,4,4,7,4,4,1
Bengaluru Bulls,Bengal Warriors,24,23,11,12,9,7,2,2,2,2,4,1
Puneri Paltan,U Mumba,41,19,22,14,10,4,6,0,3,1,4,1
Bengal Warriors,Dabang Delhi,31,23,14,13,10,8,4,0,3,2,4,1
Puneri Paltan,Patna Pirates,24,30,17,16,7,10,0,4,0,0,4,2
Puneri Paltan,Dabang Delhi,27,27,18,14,7,10,2,2,0,1,4,0
Jaipur Pink Panthers,Telugu Titans,28,24,11,12,10,9,2,0,5,3,4,1
U Mumba,Patna Pirates,34,36,19,21,11,10,2,4,2,1,4,2
Jaipur Pink Panthers,Bengaluru Bulls,28,28,18,13,7,9,2,4,1,2,4,0
U Mumba,Dabang Delhi,27,25,14,13,10,10,2,2,1,0,4,1
Jaipur Pink Panthers,Bengal Warriors,36,33,24,21,9,8,2,2,1,2,4,1
Dabang Delhi,Bengaluru Bulls,32,24,11,14,16,9,4,0,1,1,4,1
Jaipur Pink Panthers,Puneri Paltan,28,33,22,16,6,13,0,4,0,0,4,2
Telugu Titans,Patna Pirates,33,35,19,23,9,9,4,2,1,1,4,2
Bengal Warriors,U Mumba,18,26,8,11,6,13,0,2,4,0,4,2
Bengaluru Bulls,Puneri Paltan,29,27,14,13,14,10,0,2,1,2,4,1
Telugu Titans,Bengal Warriors,35,18,18,9,13,6,4,0,0,3,4,1
Telugu Titans,Bengaluru Bulls,28,30,20,18,4,8,2,2,2,2,4,2
Dabang Delhi,Jaipur Pink Panthers,26,51,21,27,4,14,0,8,1,2,4,2
Telugu Titans,U Mumba,35,30,19,22,11,6,4,2,1,0,4,1
Patna Pirates,Bengaluru Bulls,31,25,18,15,10,9,2,0,1,1,4,1
Bengaluru Bulls,U Mumba,23,24,13,14,8,7,2,2,0,1,4,2
Patna Pirates,Bengal Warriors,35,21,17,13,15,8,2,0,1,0,4,1
Bengal Warriors,Puneri Paltan,31,38,16,20,9,10,2,4,4,4,4,2
Patna Pirates,Dabang Delhi,15,33,9,11,6,13,0,4,0,5,4,2
Dabang Delhi,Telugu Titans,23,28,10,12,11,11,0,2,2,3,4,2
Patna Pirates,Jaipur Pink Panthers,21,26,9,8,11,17,0,0,1,1,4,2
Bengaluru Bulls,Telugu Titans,24,32,17,14,6,13,0,4,1,1,4,2
Puneri Paltan,Bengal Warriors,34,34,21,12,7,18,2,2,4,2,4,0
Bengaluru Bulls,Jaipur Pink Panthers,22,24,13,12,6,9,2,2,1,1,4,2
Jaipur Pink Panthers,U Mumba,23,29,14,16,6,10,0,2,3,1,4,2
Bengaluru Bulls,Patna Pirates,23,38,11,14,11,17,0,6,1,1,4,2
Telugu Titans,Puneri Paltan,32,29,15,16,13,8,2,2,2,3,4,1
Bengaluru Bulls,Dabang Delhi,20,40,17,21,3,10,0,6,0,3,4,2
Bengal Warriors,Jaipur Pink Panthers,32,25,19,18,11,5,2,0,0,2,4,1
Patna Pirates,U Mumba,34,24,13,14,16,9,4,0,1,1,4,1
Puneri Paltan,Jaipur Pink Panthers,27,33,19,18,6,8,0,4,2,3,4,2
Bengal Warriors,Patna Pirates,27,33,16,17,9,11,0,2,2,3,4,2
Bengal Warriors,Telugu Titans,34,34,19,22,10,8,2,2,3,2,4,0
Telugu Titans,Dabang Delhi,36,28,18,16,13,7,2,2,3,3,4,1
Bengal Warriors,Bengaluru Bulls,25,27,13,17,8,9,2,0,2,1,4,2
U Mumba,Puneri Paltan,34,31,18,19,10,8,4,2,2,2,4,1
Jaipur Pink Panthers,Dabang Delhi,24,22,14,14,7,7,2,0,1,1,4,1
U Mumba,Telugu Titans,25,25,14,13,9,8,2,2,0,2,4,0
Jaipur Pink Panthers,Patna Pirates,29,22,13,16,9,3,4,0,3,3,4,1
U Mumba,Bengal Warriors,27,31,19,15,3,11,2,4,3,1,4,2
Patna Pirates,Puneri Paltan,31,28,17,17,10,9,4,2,0,0,4,1
U Mumba,Bengaluru Bulls,27,28,14,10,10,11,2,4,1,3,4,2
Dabang Delhi,Bengal Warriors,41,20,22,15,11,4,6,0,2,1,4,1
Telugu Titans,Jaipur Pink Panthers,35,23,16,15,11,7,4,0,4,1,4,1
Dabang Delhi,Patna Pirates,31,32,20,18,10,9,0,2,1,3,4,2
Patna Pirates,Telugu Titans,25,46,16,23,9,17,0,6,0,0,4,2
Dabang Delhi,Puneri Paltan,34,39,21,24,11,5,0,4,2,6,4,2
Puneri Paltan,Bengaluru Bulls,36,33,17,18,13,12,4,2,2,1,4,1
Dabang Delhi,U Mumba,34,38,19,21,8,11,4,4,3,2,4,2
Patna Pirates,Puneri Paltan,37,33,20,17,14,12,2,2,1,2,4,1
Telugu Titans,Jaipur Pink Panthers,24,34,18,16,4,11,0,4,2,3,4,2
Telugu Titans,Puneri Paltan,35,40,21,23,6,10,4,4,4,3,4,2
Patna Pirates,Jaipur Pink Panthers,37,29,20,21,12,4,4,0,1,4,4,1
Telugu Titans,Tamil Thalaivas,32,27,19,16,11,9,2,0,0,2,5,1
U Mumba,Puneri Paltan,21,33,11,12,7,15,0,4,3,2,5,2
Jaipur Pink Panthers,Dabang Delhi,26,30,15,13,4,12,2,4,5,1,5,2
Telugu Titans,Patna Pirates,29,35,18,22,8,10,2,2,1,1,5,2
U Mumba,Haryana Steelers,29,28,16,16,11,9,2,2,0,1,5,1
Telugu Titans,Bengaluru Bulls,21,31,15,17,4,10,0,4,2,0,5,2
Gujarat Fortune Giants,Dabang Delhi,26,20,10,11,9,5,4,2,3,2,5,1
Telugu Titans,UP Yoddha,18,31,13,17,4,11,0,2,1,1,5,2
Gujarat Fortune Giants,Haryana Steelers,27,27,14,16,9,9,2,2,2,0,5,0
Telugu Titans,Bengal Warriors,24,30,16,19,7,6,0,2,1,3,5,2
Telugu Titans,Patna Pirates,36,43,20,22,10,13,2,4,4,4,5,2
Bengaluru Bulls,Tamil Thalaivas,32,31,15,16,13,8,4,4,0,3,5,1
Puneri Paltan,Dabang Delhi,26,21,14,11,8,6,2,0,2,4,5,1
U Mumba,Dabang Delhi,36,22,15,10,15,7,4,0,2,5,5,1
Bengaluru Bulls,UP Yoddha,27,32,17,18,4,9,2,2,4,3,5,2
Bengal Warriors,UP Yoddha,40,20,22,13,9,4,6,0,3,3,5,1
Bengaluru Bulls,Patna Pirates,32,46,22,24,5,12,0,8,5,2,5,2
Gujarat Fortune Giants,Haryana Steelers,20,32,10,10,9,16,0,2,1,4,5,2
Bengaluru Bulls,Telugu Titans,21,21,10,14,7,6,2,0,2,1,5,0
Bengaluru Bulls,Bengal Warriors,31,25,14,15,12,8,2,2,3,0,5,1
Puneri Paltan,Jaipur Pink Panthers,28,30,18,12,8,12,0,2,2,4,5,2
Bengaluru Bulls,Tamil Thalaivas,24,29,15,16,6,10,2,2,1,1,5,2
Gujarat Fortune Giants,U Mumba,39,21,19,13,13,5,6,0,1,3,5,1
Telugu Titans,UP Yoddha,32,39,19,22,9,11,2,2,2,4,5,2
Gujarat Fortune Giants,Dabang Delhi,29,25,17,12,7,8,2,2,3,3,5,1
Patna Pirates,UP Yoddha,27,27,18,16,6,9,0,0,3,2,5,0
Gujarat Fortune Giants,Jaipur Pink Panthers,27,20,8,9,13,6,2,0,4,5,5,1
Bengal Warriors,Puneri Paltan,17,34,10,15,6,10,0,4,1,5,5,2
Gujarat Fortune Giants,Bengaluru Bulls,27,24,13,10,11,11,2,2,1,1,5,1
Haryana Steelers,Tamil Thalaivas,25,25,12,12,10,10,0,2,3,1,5,0
Gujarat Fortune Giants,Telugu Titans,29,19,17,12,9,5,2,0,1,2,5,1
Dabang Delhi,Tamil Thalaivas,30,29,24,15,6,11,0,2,0,1,5,1
Gujarat Fortune Giants,Bengal Warriors,26,26,21,17,3,5,2,2,0,2,5,0
UP Yoddha,U Mumba,34,37,23,25,6,8,4,4,1,0,5,2
Bengaluru Bulls,Jaipur Pink Panthers,28,30,15,13,8,10,4,4,1,3,5,2
Telugu Titans,U Mumba,37,32,18,18,14,9,4,2,1,3,5,1
UP Yoddha,Haryana Steelers,29,36,11,15,14,14,0,4,4,3,5,2
Patna Pirates,Puneri Paltan,42,47,31,29,6,12,4,4,1,2,5,2
UP Yoddha,Jaipur Pink Panthers,22,24,12,12,7,8,0,2,3,2,5,2
Gujarat Fortune Giants,Puneri Paltan,35,21,13,11,17,10,4,0,1,0,5,1
UP Yoddha,Bengal Warriors,31,32,20,17,10,10,0,2,1,3,5,2
Haryana Steelers,Dabang Delhi,27,25,16,14,8,9,2,2,1,0,5,1
UP Yoddha,Tamil Thalaivas,33,33,19,16,10,14,2,2,2,1,5,0
UP Yoddha,Telugu Titans,25,23,13,10,10,12,0,0,2,1,5,1
U Mumba,Jaipur Pink Panthers,36,39,17,19,13,11,2,6,4,3,5,2
Bengal Warriors,Patna Pirates,36,36,22,18,11,13,2,4,1,1,5,0
Patna Pirates,Tamil Thalaivas,35,24,18,14,13,9,4,0,0,1,5,1
U Mumba,Puneri Paltan,24,26,13,14,8,8,2,2,1,2,5,2
Bengal Warriors,Bengaluru Bulls,32,26,17,15,11,10,2,0,2,1,5,1
U Mumba,Dabang Delhi,32,33,26,19,5,10,0,4,1,0,5,2
U Mumba,Haryana Steelers,38,32,21,21,14,7,2,2,1,2,5,1
Telugu Titans,Tamil Thalaivas,33,28,12,16,16,8,2,2,3,2,5,1
U Mumba,Jaipur Pink Panthers,36,32,25,18,7,5,2,4,2,5,5,1
Bengal Warriors,Patna Pirates,41,38,27,23,9,9,2,4,3,2,5,1
Gujarat Fortune Giants,Haryana Steelers,36,42,24,25,8,11,2,4,2,2,5,2
Bengal Warriors,UP Yoddha,26,26,15,19,9,5,2,0,0,2,5,0
Gujarat Fortune Giants,Jaipur Pink Panthers,25,31,14,12,9,11,0,4,2,4,5,2
Bengal Warriors,Tamil Thalaivas,29,25,15,13,9,10,2,2,3,0,5,1
Patna Pirates,Jaipur Pink Panthers,47,21,30,15,8,5,8,0,1,1,5,1
Bengal Warriors,Haryana Steelers,29,36,22,20,5,8,2,4,0,4,5,2
Dabang Delhi,Bengaluru Bulls,38,30,26,22,6,5,4,2,2,1,5,1
Bengal Warriors,U Mumba,31,37,19,22,5,11,2,4,5,0,5,2
Telugu Titans,Puneri Paltan,37,42,20,18,10,15,4,6,3,3,5,2
Bengal Warriors,Dabang Delhi,31,31,18,22,8,6,4,2,1,1,5,0
Haryana Steelers,Patna Pirates,41,41,23,26,13,11,4,4,1,0,5,0
Gujarat Fortune Giants,UP Yoddha,30,30,12,15,11,13,4,2,3,0,5,0
Patna Pirates,U Mumba,41,51,31,34,6,10,2,6,2,1,5,2
Haryana Steelers,Bengaluru Bulls,38,31,24,24,9,6,4,0,1,1,5,1
Bengaluru Bulls,Puneri Paltan,24,20,6,7,15,11,2,0,1,2,5,1
Haryana Steelers,Telugu Titans,19,37,12,16,4,13,0,4,3,4,5,2
Bengal Warriors,Telugu Titans,32,31,22,17,5,8,2,4,3,2,5,1
Haryana Steelers,Dabang Delhi,27,24,14,13,10,6,2,2,1,3,5,1
Tamil Thalaivas,UP Yoddha,34,33,18,22,10,9,4,2,2,0,5,1
Haryana Steelers,Puneri Paltan,22,38,14,22,8,8,0,4,0,4,5,2
Haryana Steelers,Jaipur Pink Panthers,27,27,16,19,9,6,2,2,0,0,5,0
Patna Pirates,Telugu Titans,46,30,24,17,12,8,8,2,2,3,5,1
U Mumba,Gujarat Fortune Giants,28,39,17,21,7,13,0,4,4,1,5,2
Bengaluru Bulls,Telugu Titans,26,26,15,12,9,13,2,0,0,1,5,0
Patna Pirates,UP Yoddha,45,42,26,27,8,8,6,4,5,3,5,1
Jaipur Pink Panthers,Dabang Delhi,36,25,17,15,13,9,4,0,2,1,5,1
Patna Pirates,Bengal Warriors,37,37,23,27,9,7,4,2,1,1,5,0
Puneri Paltan,Haryana Steelers,37,25,16,16,17,9,4,0,0,0,5,1
Patna Pirates,Bengaluru Bulls,36,32,22,22,7,5,4,2,3,3,5,1
U Mumba,Gujarat Fortune Giants,23,45,12,23,11,13,0,6,0,3,5,2
