Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
mohammad esmaeil nabibakhsh,All Rounder,Bengal Warriors,19,95,55,70,23,25,3.68,1.32,7,3,2,1,1,All
rinku narwal,Defender,Bengal Warriors,47,94,2,2,85,92,0.17,1.96,1,,7,,4,All
ajinkya ashok pawar,Raider,Jaipur Pink Panthers,31,94,73,90,3,4,3,0.13,29,1,1,,,All
v. ajith kumar,Raider,Tamil Thalaivas,16,91,76,91,,,6.07,0,9,1,,3,,All
sunil,Defender,Haryana Steelers,39,87,,,86,87,,2.23,,,1,,5,All
mahipal narwal,All Rounder,Gujarat Fortune Giants,34,87,40,57,28,30,2.04,0.88,14,3,2,1,,All
somvir shekhar,Defender,Jaipur Pink Panthers,61,87,1,1,82,86,,1.41,,,4,,4,All
manoj kumar,Defender,Gujarat Fortune Giants,52,84,16,25,48,59,0.93,1.13,,2,11,,2,All
baldev singh,Defender,Bengal Warriors,37,84,,1,75,83,0.25,2.24,,,8,,7,All
bhupender singh,All Rounder,Bengal Warriors,47,83,48,71,11,12,1.54,0.26,34,4,1,,1,All
arjun deshwal,Raider,U Mumba,19,82,60,80,2,2,4.21,,11,2,,2,,All
amit sheoran,Defender,Bengaluru Bulls,38,81,,,76,81,,2.13,,,5,,5,All
anil kumar,Defender,Dabang Delhi,53,81,2,3,73,78,0.16,1.47,1,,5,,,All
sachin kumar,All Rounder,UP Yoddha,46,79,21,26,48,53,0.84,1.15,4,,5,,3,All
vikas jaglan,All Rounder,Patna Pirates,46,78,28,43,35,35,1.13,0.76,9,2,,,,All
sagar b krishna,All Rounder,Puneri Paltan,60,71,1,1,63,70,0.09,1.17,,,7,,5,All
sandeep kandola,Defender,Telugu Titans,16,70,7,11,55,59,1.38,3.69,,,4,,6,All
dong geon lee,Raider,U Mumba,32,70,53,70,,,2.19,0,17,1,,1,,All
jitesh joshi,All Rounder,Puneri Paltan,19,69,43,53,14,16,2.79,0.84,15,,2,,2,All
jawahar dagar,Defender,Patna Pirates,46,65,4,9,50,56,0.53,1.22,1,,6,,2,All
vineet sharma,Raider,Tamil Thalaivas,41,65,34,41,22,24,1.11,0.59,7,,2,,,All
kuldeep singh,Defender,Haryana Steelers,36,65,,1,59,64,,1.78,,,5,,3,All
neeraj kumar,Defender,Patna Pirates,36,64,,,59,64,,1.78,,,5,,3,All
pravin niwale,Raider,Dabang Delhi,17,64,43,62,2,2,3.88,0.12,14,5,,1,,All
sunil siddhgavali,Defender,Jaipur Pink Panthers,42,63,4,5,51,58,0.5,1.38,2,,7,,5,All
sumit singh,Raider,Bengaluru Bulls,32,63,39,54,7,9,1.74,0.28,13,,2,,,All
sumit,Defender,UP Yoddha,18,63,1,2,60,61,0.5,3.39,,,1,,5,All
surender gill,Raider,UP Yoddha,15,62,41,54,7,8,3.6,0.53,24,1,1,,,All
ruturaj shivaji koravi,Defender,Gujarat Fortune Giants,38,62,,,59,62,,1.63,,,3,,1,All
vishal,All Rounder,Jaipur Pink Panthers,25,62,2,3,47,59,0.33,2.36,2,,12,,2,All
akshay jadhav,Raider,Puneri Paltan,29,62,34,37,22,25,1.32,0.86,9,1,3,,2,All
vinod kumar,Raider,Bengaluru Bulls,29,61,43,52,9,9,2,0.31,26,,,,,All
amit singh chhillar,Defender,Telugu Titans,35,60,1,1,55,59,0.17,1.69,,,4,,2,All
prashant chavan,Defender,Dabang Delhi,41,57,1,1,50,56,0.09,1.37,,,6,,2,All
sonu jaglan,Raider,Gujarat Fortune Giants,15,56,42,52,3,4,3.47,,9,3,1,1,,All
rajaguru subramanian,Defender,U Mumba,46,55,,1,51,54,0.17,1.17,,,3,,,All
rajnish,Raider,Telugu Titans,14,54,39,52,2,2,3.71,0.14,11,1,,2,,All
shyam kumar sah,Defender,Bengal Warriors,27,53,11,17,34,36,1,1.33,1,1,2,,1,All
rakesh narwal,Raider,Bengal Warriors,25,52,35,50,2,2,2.08,0.08,10,4,,,,All
amit om prakash rathi,Raider,Gujarat Fortune Giants,16,52,33,46,4,6,2.88,0.38,17,1,2,,,All
d. pradap,All Rounder,Tamil Thalaivas,29,51,11,18,31,33,0.78,1.14,4,,2,,,All
d. gopu,Defender,Tamil Thalaivas,34,51,4,4,40,47,0.4,1.38,,,7,,1,All
sachin khambe,Defender,Puneri Paltan,22,51,5,5,40,46,0.56,2.09,1,,6,,2,All
rakesh singh kumar,Defender,Haryana Steelers,49,50,1,1,46,49,0.07,1,,,3,,2,All
parmod narwal,All Rounder,Haryana Steelers,35,49,13,21,25,28,0.84,0.8,2,1,3,,,All
ravindra ramesh kumawat,Raider,Bengal Warriors,18,49,34,42,7,7,2.33,0.39,16,2,,,,All
vinod kumar,Defender,Puneri Paltan,27,48,,,48,48,,1.78,,,,,1,All
saurabh nandal,Defender,Bengaluru Bulls,18,48,1,1,42,47,,2.61,,,5,,5,All
darshan j.,Defender,Tamil Thalaivas,29,47,,1,45,46,,1.59,,,1,,1,All
anand patil,Raider,Jaipur Pink Panthers,26,46,33,46,,,1.84,0,12,3,,,,All
harish naik,Raider,Bengaluru Bulls,21,45,34,45,,,2.14,0,6,,,1,,All
yogesh hooda,Raider,Dabang Delhi,21,45,29,35,10,10,1.84,0.48,15,,,,,All
preetam chhillar,All Rounder,Bengaluru Bulls,58,45,9,15,30,30,0.44,0.52,,1,,,,All
suraj desai,Raider,Telugu Titans,12,45,35,44,1,1,4,0.08,3,1,,1,,All
amit kumar,Raider,Puneri Paltan,19,45,16,25,19,20,1.47,1.05,14,1,1,,,All
satpal,Defender,Dabang Delhi,22,43,,5,32,38,0.56,1.73,1,,6,,1,All
kalimuthu balamahendran,Defender,Telugu Titans,23,43,10,18,19,25,1.2,1.09,5,2,6,,,All
santhapanaselvam,All Rounder,Jaipur Pink Panthers,32,43,,,40,43,,1.34,,,3,,,All
narender,All Rounder,UP Yoddha,28,42,,,37,42,,1.5,,,5,,2,All
sombir,Defender,Dabang Delhi,31,41,,,35,41,,1.32,,,6,,2,All
gangadhari mallesh,Raider,Jaipur Pink Panthers,36,41,14,19,18,22,0.73,0.61,6,,4,,,All
kuldeep singh,Defender,Bengaluru Bulls,20,40,,,37,40,,2,,,3,,3,All
sachin vittala,Defender,Gujarat Fortune Giants,26,39,11,14,24,25,2,0.96,4,1,1,,,All
pankaj,All Rounder,Gujarat Fortune Giants,23,38,,,38,38,0,1.65,,,,,1,All
mohammad esmaeil maghsoudlou mahalli,Raider,Patna Pirates,17,38,25,31,5,7,1.94,0.41,7,,2,,,All
manish,Defender,Patna Pirates,40,37,,,30,37,,0.93,,,7,,,All
r. sriram,Raider,Puneri Paltan,15,36,29,35,1,1,2.33,0.07,16,,,,,All
suresu kumar,Raider,Dabang Delhi,21,35,26,31,4,4,1.55,0.19,15,,,,,All
vikas kumar,Raider,Telugu Titans,14,35,26,30,4,5,2.14,0.36,9,,1,,,All
jadhav balasaheb shahaji,Defender,Puneri Paltan,18,35,,,28,35,,1.94,,,7,,3,All
amit kumar,Raider,Jaipur Pink Panthers,17,33,10,12,20,21,1.09,1.24,5,1,1,,1,All
mayur shivtarkar,All Rounder,Bengal Warriors,29,33,6,9,24,24,0.53,0.83,5,,,,,All
ziaur rahman,Defender,Bengal Warriors,34,32,,,30,32,,0.94,,,2,,1,All
ajit singh,Raider,Jaipur Pink Panthers,17,32,24,32,,,1.88,,9,1,,,,All
vijin thangadurai,Defender,Bengal Warriors,51,32,,,27,32,,0.63,,,5,,,All
parveen,Defender,Haryana Steelers,25,32,1,3,23,29,0.5,1.16,,,6,,1,All
ashu singh,Defender,UP Yoddha,18,32,,,30,32,,1.78,,,2,,,All
amit,Defender,UP Yoddha,32,31,1,2,26,29,0.33,0.91,,,3,,,All
rakesh gowda,Raider,Telugu Titans,9,31,20,22,6,9,2.44,1,2,,3,,,All
sidharth,All Rounder,Dabang Delhi,21,31,3,4,24,27,0.36,1.29,,,3,,1,All
vinoth kumar,Raider,U Mumba,17,30,25,30,,,1.76,0,14,,,,,All
shubham shinde,Defender,Puneri Paltan,23,30,1,1,24,29,0.07,1.26,,,5,,,All
azad singh,Raider,UP Yoddha,13,29,17,27,2,2,2.08,0.15,6,1,,,,All
viraj vishnu landge,Defender,Bengal Warriors,34,29,,,29,29,,0.85,,,,,,All
manpreet singh,Raider,Patna Pirates,13,29,20,24,5,5,1.85,0.38,4,,,,,All
umesh mhatre,Raider,Puneri Paltan,13,28,16,19,7,9,1.46,0.69,8,,2,,,All
mangesh bhagat,Raider,Puneri Paltan,8,28,19,27,1,1,3.38,0.13,6,,,,,All
gurpreet singh,Defender,Puneri Paltan,18,28,1,2,25,26,,1.44,1,,1,,1,All
rakshith,Raider,Telugu Titans,17,28,23,26,2,2,1.53,0.12,4,,,,,All
wasim sajjad,Defender,Telugu Titans,17,27,,,24,27,,1.59,,,3,,,All
hadi tajik,Defender,Puneri Paltan,28,27,3,5,21,22,0.45,0.79,1,,1,,,All
vikash,Defender,Haryana Steelers,19,26,,,24,26,,1.37,,,2,,,All
pradeep kumar,Raider,U Mumba,10,26,19,24,1,2,3,0.2,5,2,1,1,,All
ashish chhokar,Raider,Bengal Warriors,12,25,13,21,4,4,1.75,0.33,4,1,,,,All
anil kumar,Defender,Dabang Delhi,19,25,1,1,19,24,0.33,1.26,1,,5,,,All
deepak kumar rathee,All Rounder,Haryana Steelers,20,24,7,9,14,15,0.56,0.75,6,1,1,,,All
manoj dhull,Defender,Bengal Warriors,27,24,,,23,24,,0.89,,,1,,,All
armaan,All Rounder,Telugu Titans,10,24,15,22,1,2,2.2,0.2,6,2,1,1,,All
amit nagar,Raider,Bengal Warriors,12,23,14,17,6,6,1.55,0.5,4,,,,,All
young chang ko,Defender,U Mumba,37,23,,,17,23,,0.62,,,6,,1,All
raju lal choudhary,Defender,Bengaluru Bulls,23,23,,,23,23,,1,,,,,,All
navneet gautam,Defender,Jaipur Pink Panthers,31,22,,1,20,21,0.2,0.68,,,1,,1,All
tae deok eom,All Rounder,Patna Pirates,35,22,10,14,7,8,1,0.23,5,,1,,,All
dadaso balaso awad,All Rounder,Dabang Delhi,12,22,4,5,14,17,0.56,1.42,2,,3,,,All
samarjeet singh,All Rounder,Jaipur Pink Panthers,22,22,2,3,16,19,0.27,0.86,,,3,,,All
somvir,Defender,Telugu Titans,16,22,,1,20,21,,1.31,,,1,,,All
rahul kumar,Defender,Bengal Warriors,30,22,,,20,22,,0.73,,,2,,,All
suresh kumar,Raider,Puneri Paltan,11,22,12,22,,,2,,9,,,,,All
banty,Raider,Bengaluru Bulls,11,21,13,18,3,3,1.8,0.27,6,,,,,All
swapnil dilip shinde,Defender,Dabang Delhi,21,21,,,21,21,,1,,,,,,All
vijendar singh,All Rounder,Telugu Titans,8,20,,,19,20,,2.5,,,1,,2,All
sushil gulia,Raider,Jaipur Pink Panthers,7,20,12,19,1,1,2.71,,8,2,,,,All
ponparthiban subramanian,Defender,Tamil Thalaivas,18,20,,,19,20,,1.11,,,1,,1,All
dinesh kumar,All Rounder,Bengal Warriors,8,19,17,19,,,2.38,,4,,,,,All
nitin more,Defender,Bengal Warriors,22,19,,,19,19,,0.86,,,,,1,All
rupesh tomar,All Rounder,Dabang Delhi,15,19,4,5,11,14,0.71,0.93,,,3,,,All
anil shriram nimbolkar,Raider,Dabang Delhi,6,19,9,15,2,4,2.5,0.67,4,1,2,1,,All
sandeep,Defender,Bengaluru Bulls,14,19,,,16,19,,1.36,,,3,,,All
krushna madane,Defender,Telugu Titans,16,18,1,1,17,17,0.14,1.06,,,,,,All
ram kumar sah,Defender,Dabang Delhi,11,18,3,3,14,15,0.75,1.36,,,1,,2,All
amit kumar,All Rounder,Puneri Paltan,6,18,9,16,1,2,2.67,,4,,1,,,All
harendra kumar,Defender,U Mumba,16,17,,,16,17,,1.06,,,1,,1,All
mohit sehrawat,Defender,Bengaluru Bulls,13,17,4,5,10,12,0.42,0.92,3,,2,,1,All
adarsh t,Defender,Bengal Warriors,19,17,1,2,12,15,,0.79,,,3,,,All
kamal singh,Raider,Telugu Titans,11,17,7,13,3,4,1.63,0.36,3,,1,,,All
amit kumar,Raider,Telugu Titans,11,17,3,4,11,13,0.36,1.18,3,,2,,,All
sanjay kumar,All Rounder,Patna Pirates,8,16,9,15,1,1,2.14,0.13,4,2,,,,All
s mahalingam,All Rounder,Telugu Titans,11,16,,,14,16,,1.45,,,2,,,All
elangeshwaran r,All Rounder,Telugu Titans,5,16,7,12,2,4,2.4,0.8,4,1,2,,,All
m. thivakaran,Raider,Tamil Thalaivas,9,16,11,14,2,2,1.56,,8,,,,,All
isac antony,Raider,Telugu Titans,9,15,10,11,4,4,1.57,0.44,2,,,,,All
virender wazir singh,Raider,Bengal Warriors,7,15,7,14,1,1,2,,7,1,,,,All
sanket chavan,Defender,Tamil Thalaivas,13,15,,,15,15,,1.15,,,,,,All
mohammad maghshoudulu,All Rounder,Patna Pirates,18,15,9,14,1,1,0.88,,9,,,,,All
sumit malik,Defender,Gujarat Fortune Giants,14,15,,,14,15,,1.07,,,1,,,All
ajeet,Defender,Tamil Thalaivas,14,14,,,13,14,,1,,,1,,,All
c manoj kumar,Defender,Telugu Titans,12,14,7,10,4,4,1.11,0.33,1,,,,,All
anand,Raider,Tamil Thalaivas,8,14,10,14,,,1.75,,6,1,,,,All
vijay kumar,Defender,Bengaluru Bulls,21,14,1,3,8,11,0.43,0.52,2,,3,,,All
victor onyango obiero,All Rounder,Tamil Thalaivas,6,14,8,12,1,2,2,,,,1,,,All
sagar khatale,Defender,Puneri Paltan,12,14,,,14,14,,1.17,,,,,,All
waleed al hasani,Raider,Puneri Paltan,6,14,10,14,,,2.33,,1,1,,,,All
seong ryeol kim,Defender,Gujarat Fortune Giants,15,14,2,3,10,11,0.75,0.73,2,,1,,,All
kedar lal,Raider,Bengal Warriors,10,13,7,12,1,1,1.2,,9,1,,,,All
deepak dhull,Defender,Patna Pirates,10,13,,1,11,12,,1.2,,,1,,1,All
ankit,Defender,Gujarat Fortune Giants,12,13,,,11,13,,1.08,,,2,,,All
sushant sail,Raider,Puneri Paltan,9,12,8,12,,,1.33,,1,,,,,All
sachin narwal,All Rounder,Jaipur Pink Panthers,12,12,7,11,1,1,1,0.08,3,1,,,,All
pavan t. r.,Defender,Jaipur Pink Panthers,15,12,,,10,12,,0.8,,,2,,,All
parvesh,Raider,Puneri Paltan,6,12,5,7,4,5,1.17,0.83,1,,1,,,All
lalit chaudhary,Raider,Gujarat Fortune Giants,7,12,2,5,5,7,0.71,1,,,2,,,All
jeeva gopal,Defender,Haryana Steelers,24,12,,,10,12,,0.5,,,2,,,All
santhosh b.s,Defender,UP Yoddha,9,12,1,3,8,9,0.43,1,,1,1,,,All
n. renjith,Defender,U Mumba,11,12,,,10,12,,1.09,,,2,,,All
sandeep,All Rounder,Puneri Paltan,6,12,4,7,4,5,2.33,0.83,2,,1,,,All
yatharth deshwal,All Rounder,Dabang Delhi,6,11,,,10,11,,1.83,,,1,,,All
simon kibura,Raider,Bengal Warriors,9,11,8,9,2,2,1.29,0.22,2,,,,,All
vijender singh,Defender,Bengaluru Bulls,8,11,,1,9,10,,1.25,,,1,,,All
g.s. manikandan,Defender,Dabang Delhi,20,11,,,10,11,,0.55,,,1,,,All
balbir singh,All Rounder,Jaipur Pink Panthers,10,10,7,10,,,1,,2,,,,,All
tapas pal,All Rounder,Dabang Delhi,7,10,,,10,10,,1.43,,,,,,All
ravinder kumar,All Rounder,Patna Pirates,12,10,,,9,10,,0.83,,,1,,,All
sagar,Defender,Tamil Thalaivas,10,10,,,9,10,,1,,,1,,,All
bhanu pratap tomar,Raider,UP Yoddha,6,9,6,9,,,1.5,,1,,,,,All
ankit,Defender,Bengaluru Bulls,13,9,,,8,9,0,0.69,,,1,,,All
anil kumar,Raider,Tamil Thalaivas,6,9,,1,8,8,,1.33,,,,,1,All
shubham ashok palkar,Raider,Gujarat Fortune Giants,12,9,8,9,,,0.75,,4,,,,,All
anand surendra tomar,Raider,Haryana Steelers,5,9,7,8,1,1,1.6,,2,,,,,All
deepak kumar,Defender,Bengal Warriors,7,9,,,7,9,,1.29,,,2,,1,All
saeid ghaffari,Defender,Dabang Delhi,9,8,,,8,8,,0.89,,,,,,All
deepak yadav,Defender,Puneri Paltan,7,8,,,7,8,,1.14,,,1,,,All
mohan raman g,Raider,U Mumba,4,8,4,8,,,2,,1,,,,,All
ravi v.,Raider,Puneri Paltan,2,8,5,8,,,4,,3,,,,,All
harvinder singh,Defender,Puneri Paltan,4,8,,,7,8,,2,,,1,,,All
amit kumar tomar,Raider,Dabang Delhi,9,8,3,6,2,2,0.67,0.22,1,,,,,All
anil kashinath patil,All Rounder,Jaipur Pink Panthers,5,8,6,8,,,1.6,,6,,,,,All
emad sedaghatnia,Raider,Puneri Paltan,2,8,5,8,,,4,,,,,,,All
ankit beniwal,Raider,Telugu Titans,7,8,5,7,1,1,1,,,,,,,All
ajay,Defender,Bengaluru Bulls,16,8,1,2,6,6,,0.38,,,,,,All
m. abishek,Defender,Tamil Thalaivas,6,8,,,8,8,,1.33,,,,,,All
sanket sawant,Defender,Puneri Paltan,5,7,,,7,7,,1.4,,,,,,All
chand singh,Defender,Haryana Steelers,9,7,1,1,5,6,,0.67,,,1,,,All
ankush,Raider,UP Yoddha,3,7,4,6,1,1,2,,2,,,,,All
mahesh maruti magdum,All Rounder,Bengaluru Bulls,4,7,5,7,,,2.33,,2,,,,,All
gnanasekaran m,Defender,Dabang Delhi,8,7,3,5,1,2,1,0.25,,,1,,,All
david shilisia j mosambayi,Raider,Jaipur Pink Panthers,7,6,2,6,,,0.86,,,,,,,All
rahul choudhary,Raider,Jaipur Pink Panthers,5,6,4,5,1,1,1,,1,,,,,All
vikash kumar,Raider,U Mumba,6,6,4,6,,,1,,,,,,,All
parveen m. jangra,Defender,Bengal Warriors,6,6,1,1,5,5,0.25,0.83,,,,,,All
sinotharan kanesharajah,Raider,Bengaluru Bulls,3,6,2,5,1,1,1.67,,1,1,,,,All
ehsan zamani fard,Defender,Dabang Delhi,8,6,3,4,2,2,0.5,0.25,,,,,,All
bhuvneshwar gaur,Raider,Haryana Steelers,6,6,3,6,,,1,,,,,,,All
anuj kumar,Defender,Telugu Titans,7,6,1,1,4,5,,0.71,,,1,,,All
dharmender,Raider,Gujarat Fortune Giants,4,5,2,5,,,1.67,,,1,,,,All
amit kharb,Defender,Gujarat Fortune Giants,11,5,,,3,5,,0.45,,,2,,,All
gurvinder singh,Defender,UP Yoddha,5,5,,,5,5,,1,,,,,,All
ashish,Raider,Patna Pirates,7,5,3,5,,,0.71,,1,,,,,All
amit kumar,All Rounder,Patna Pirates,3,5,3,5,,,1.67,,,1,,,,All
harmanjit singh,Raider,Gujarat Fortune Giants,4,5,5,5,,,1.25,,,,,,,All
wajid ali,All Rounder,Telugu Titans,4,5,3,4,1,1,,0.25,,,,,,All
mandeep kumar,Raider,Patna Pirates,7,5,2,5,,,1,0,,1,,,,All
punit kumar teotia,Raider,Dabang Delhi,4,5,2,3,2,2,0.75,0.5,,,,,,All
vikas tomar,Defender,Puneri Paltan,9,5,,,4,5,,0.56,,,1,,,All
varinder singh,Defender,Patna Pirates,8,5,,,5,5,,0.63,,,,,,All
t. prasad,All Rounder,Telugu Titans,9,5,,,5,5,,0.56,,,,,,All
prateek,All Rounder,Haryana Steelers,6,5,1,3,2,2,0.6,,,,,,,All
vikash,All Rounder,Bengal Warriors,4,5,,,5,5,,1.25,,,,,,All
jagdeesha k.k.,Defender,Jaipur Pink Panthers,7,5,,,5,5,,0.71,,,,,,All
vijay malik,Raider,Patna Pirates,7,5,4,5,,,0.71,,3,,,,,All
rohit,Raider,Bengaluru Bulls,2,4,3,4,,,,,1,,,,,All
e subash,All Rounder,U Mumba,4,4,,,3,4,,1,,,1,,,All
lokesh kaushik,Raider,Jaipur Pink Panthers,7,4,2,2,2,2,0.33,,,,,,,All
rajeev kumar,Defender,Dabang Delhi,3,4,,,4,4,,1.33,,,,,,All
gurchet singh,All Rounder,Bengaluru Bulls,4,4,1,1,3,3,0.25,0.75,,,,,,All
sunil hanumanthappa,Raider,Bengaluru Bulls,5,4,1,2,2,2,,,,,,,,All
dovlet boshimov,Raider,Patna Pirates,2,4,3,4,,,,,1,,,,,All
elavarasan a,Defender,Jaipur Pink Panthers,3,4,,,3,4,,1.33,,,1,,,All
sudhanshu tyagi,Defender,Haryana Steelers,13,4,,,4,4,,0.31,,,,,,All
aman kadian,Raider,Dabang Delhi,4,4,2,3,1,1,0.75,,,,,,,All
purna singh,Raider,Patna Pirates,6,4,3,4,,,0.8,,1,,,,,All
arun kumar hn,Raider,Haryana Steelers,4,3,2,3,,,0.75,,,,,,,All
mithin kumar,Raider,Bengal Warriors,3,3,2,3,,,1,,2,,,,,All
satish,Defender,Patna Pirates,10,3,,,3,3,,0.3,,,,,,All
muruthu m,Defender,Tamil Thalaivas,3,3,,,3,3,,1,,,,,,All
tushar balaram bhoir,Defender,Dabang Delhi,10,3,,,2,3,,0.3,,,1,,,All
anand v,Raider,Bengaluru Bulls,3,3,3,3,,,1,,3,,,,,All
md. masud karim,Raider,UP Yoddha,3,3,2,3,,,,,1,,,,,All
ravinder,All Rounder,Patna Pirates,5,3,,,2,3,,0.6,,,1,,,All
himanshu,Defender,Tamil Thalaivas,3,3,1,2,1,1,,,,,,,,All
parveen kumar,Defender,Bengal Warriors,8,3,,,2,3,,0.38,,,1,,,All
gulveer singh,Raider,UP Yoddha,4,3,1,3,,,0.75,,,,,,,All
sanoj kumar,Defender,UP Yoddha,2,3,2,2,1,1,,0.5,,,,,,All
rohit kumar,Defender,UP Yoddha,7,3,1,2,1,1,,0.14,,,,,,All
bhavani rajput,Raider,Tamil Thalaivas,4,3,1,3,,,0.75,,1,,,,,All
vikrant,Raider,Telugu Titans,3,3,1,3,,,,,,,,,,All
hyunil park,All Rounder,Telugu Titans,2,3,1,2,1,1,,,,,,,,All
ravit kumar,Raider,Telugu Titans,3,2,1,1,1,1,,0.33,,,,,,All
shashank wankhede,Defender,Bengal Warriors,5,2,,,2,2,,0.4,,,,,,All
jay bahadur bohara,Raider,Puneri Paltan,1,2,1,2,,,,,2,,,,,All
nirbhay narwal,Defender,Bengaluru Bulls,2,2,1,1,1,1,,,1,,,,,All
sushil vijay bhosle,Defender,Bengal Warriors,2,2,,,2,2,,1,,,,,,All
babu m,Defender,Haryana Steelers,2,2,,,2,2,,1,,,,,,All
n. shiva ramakrishna,All Rounder,Jaipur Pink Panthers,1,2,,,1,2,,,,,1,,,All
vishav chaudhary,Defender,UP Yoddha,2,2,1,2,,,1,,,,,,,All
kuldeep,Raider,Bengal Warriors,5,2,,,2,2,,,,,,,,All
farhad kamal gharibi,Defender,Bengal Warriors,2,2,,,1,2,,,,,1,,,All
takamitsu kono,All Rounder,Puneri Paltan,1,2,1,1,1,1,,,,,,,,All
dong ju hong,All Rounder,U Mumba,9,2,1,2,,,0.33,,,,,,,All
gokul shitole,Defender,Jaipur Pink Panthers,4,2,,,2,2,,0.5,,,,,,All
md. aruduzzaman munshi,Raider,U Mumba,6,2,2,2,,,,,,,,,,All
sandeep tomar,Raider,Dabang Delhi,3,2,2,2,,,0.67,,1,,,,,All
vinoth paulyas,Raider,Patna Pirates,4,2,2,2,,,0.5,,2,,,,,All
anoop e.v.,Raider,U Mumba,3,2,,,2,2,,0.67,,,,,,All
sandeep malik,Defender,Puneri Paltan,1,2,,,1,2,,,,,1,,,All
aman kumar,Defender,Patna Pirates,4,2,,,2,2,,0.5,,,,,,All
balram,All Rounder,Dabang Delhi,2,2,1,2,,,,,2,,,,,All
palle mallikarjun,Raider,Telugu Titans,3,2,2,2,,,0.67,,,,,,,All
gurdeep,All Rounder,UP Yoddha,2,2,,,2,2,,,,,,,,All
gaurav kumar,Raider,U Mumba,3,2,2,2,,,0.67,,,,,,,All
yashwant bishnoi,Raider,Tamil Thalaivas,3,2,2,2,,,0.67,,,,,,,All
vimal raj v,All Rounder,Tamil Thalaivas,5,2,2,2,,,0.5,,1,,,,,All
vikram kandola,Defender,Haryana Steelers,3,1,,,1,1,,0.33,,,,,,All
aashish nagar,Defender,UP Yoddha,3,1,,,1,1,,,,,,,,All
ajinkya rohidas kapre,All Rounder,U Mumba,2,1,1,1,,,,,,,,,,All
munish,Raider,Telugu Titans,3,1,,1,,,,,,,,,,All
naveen narwal,Defender,Bengal Warriors,3,1,,,1,1,,0.33,,,,,,All
sumit,Defender,Dabang Delhi,2,1,,,1,1,,,,,,,,All
satywan,Defender,Dabang Delhi,1,1,,,1,1,,,,,,,,All
aman,Defender,Bengaluru Bulls,2,1,,,1,1,,,,,,,,All
vikas chhillar,Raider,Haryana Steelers,1,1,1,1,,,,,,,,,,All
sunny,Raider,Patna Pirates,3,1,,1,,,0.33,,1,,,,,All
adinath sakharam gavali,Defender,U Mumba,1,1,,,1,1,,1,,,,,,All
rohit kumar prajapat,Raider,Jaipur Pink Panthers,3,1,,,1,1,0,,,,,,,All
kazuhiro takano,All Rounder,Jaipur Pink Panthers,2,1,1,1,,,,,,,,,,All
inderpal bishnoi,Raider,Dabang Delhi,2,1,1,1,,,,,,,,,,All
amit kumar,All Rounder,Puneri Paltan,1,1,,,1,1,,,,,,,,All
sunil subhash lande,Defender,Puneri Paltan,4,1,,,1,1,,0.25,,,,,,All
atif waheed,All Rounder,Telugu Titans,3,1,,,1,1,,0.33,,,,,,All
nithesh b r,Defender,Bengaluru Bulls,2,1,,,1,1,,,,,,,,All
mohammad taghi paein mahali,Raider,Bengal Warriors,3,1,,,1,1,,,,,,,,All
yong joo ok,All Rounder,U Mumba,1,1,1,1,,,,,1,,,,,All
vishnu uthaman,Raider,Patna Pirates,3,1,,,1,1,0,,,,,,,All
ajvender singh,Raider,UP Yoddha,2,1,,,1,1,,,,,,,,All
sanju,Raider,Dabang Delhi,4,1,,,1,1,,0.25,,,,,,All
ravinandan g.m.,Defender,Dabang Delhi,1,1,,,1,1,,,,,,,,All
navjot singh,Defender,Dabang Delhi,1,1,,,1,1,,,,,,,,All
parvesh attri,Raider,Bengaluru Bulls,1,1,1,1,,,,,1,,,,,All
hardeep duhan,Defender,Bengaluru Bulls,1,1,,,1,1,,,,,,,,All
parveen narwal,All Rounder,Jaipur Pink Panthers,1,1,1,1,,,,,,,,,,All
ajay singh,Defender,Bengaluru Bulls,1,1,,,1,1,,1,,,,,,All
nitin kumar,All Rounder,U Mumba,1,1,1,1,,,,,1,,,,,All
jishnu,Defender,Telugu Titans,3,1,,,1,1,,0.33,,,,,,All
masayuki shimokawa,Raider,U Mumba,7,,,,,,0,,,,,,,All
kamal kishor jat,Raider,Dabang Delhi,7,,,,,,0,,,,,,,All
c kalai arasan,Defender,Gujarat Fortune Giants,3,,,,,,,0,,,,,,All
pardeep kandola,Defender,Bengaluru Bulls,3,,,,,,,0,,,,,,All
kiran a,Defender,Telugu Titans,4,,,,,,,0,,,,,,All
anil singh,Defender,Puneri Paltan,2,,,,,,,0,,,,,,All
pawan kumar sehrawat,Raider,Bengaluru Bulls,19,256,187,242,13,14,12.74,0.74,14,6,1,13,,7
pardeep narwal,Raider,Patna Pirates,19,243,190,243,,,12.79,,38,12,,13,,7
naveen kumar,Raider,Dabang Delhi,19,243,201,241,2,2,12.68,0.11,30,2,,18,,7
maninder singh,Raider,Bengal Warriors,19,192,161,192,,,10.11,0,24,6,,9,,7
siddharth sirish desai,Raider,Telugu Titans,18,177,143,174,3,3,9.67,0.17,22,6,,7,,7
deepak niwas hooda,All Rounder,Jaipur Pink Panthers,20,158,113,146,10,12,7.3,0.6,25,2,2,7,,7
