Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
d. suresh kumar,Defender,Patna Pirates,12,28,,,24,28,,2.33,,,4,,4,1
mangesh bhagat,Raider,Puneri Paltan,8,28,19,27,1,1,3.38,0.13,6,,,,,1
shyam kumar sah,Defender,Bengal Warriors,13,28,7,10,17,18,1.25,1.38,1,,1,,,1
sachin khambe,Defender,Bengal Warriors,14,27,5,5,20,22,1,1.57,1,,2,,,1
wasim sajjad,Defender,Patna Pirates,15,27,,,24,27,,1.8,,,3,,,1
gurpreet singh,Defender,Bengaluru Bulls,16,27,1,2,24,25,,1.56,1,,1,,1,1
d. gopu,Defender,Telugu Titans,15,27,4,4,20,23,0.5,1.53,,,3,,,1
girish maruti ernak,Defender,Patna Pirates,12,25,2,2,22,23,0.33,1.92,,,1,,1,1
mahendra ganesh rajput,Raider,Bengal Warriors,8,21,17,21,,,2.63,,2,,,,,1
deepak kumar dahiya,Raider,Bengaluru Bulls,7,21,15,19,2,2,2.71,0.29,9,,,,,1
pravin niwale,Raider,Puneri Paltan,7,21,12,20,1,1,3.33,0.14,5,3,,1,,1
vishal mane,Defender,U Mumba,16,20,,,19,20,,1.25,,,1,,1,1
sachin shingade,Defender,Telugu Titans,10,20,,,19,20,,2,,,1,,1,1
vijendar singh,All Rounder,Telugu Titans,8,20,,,19,20,,2.5,,,1,,2,1
rajaguru subramanian,Defender,Telugu Titans,14,19,,,18,19,,1.36,,,1,,,1
ram kumar sah,Defender,Patna Pirates,9,18,3,3,14,15,0.75,1.67,,,1,,2,1
navneet gautam,Defender,Jaipur Pink Panthers,14,17,,,16,17,,1.21,,,1,,1,1
gangadhari mallesh,Raider,Jaipur Pink Panthers,10,16,10,13,3,3,1.63,0.3,1,,,,,1
jeeva kumar,Defender,U Mumba,9,16,,,16,16,,1.78,,,,,,1
waleed al hasani,Raider,Puneri Paltan,6,14,10,14,,,2.33,,1,1,,,,1
gurvinder singh,Raider,Patna Pirates,7,13,6,9,3,4,1.8,0.57,3,,1,,,1
nitin more,Defender,Puneri Paltan,9,12,,,12,12,,1.33,,,,,1,1
preetam chhillar,All Rounder,Bengaluru Bulls,11,12,3,5,7,7,0.83,0.64,,,,,,1
samarjeet singh,All Rounder,Jaipur Pink Panthers,12,12,,1,10,11,0.2,0.92,,,1,,,1
bajirao hodage,Defender,Bengal Warriors,6,11,,,9,11,,1.83,,,2,,,1
sagar khatale,Defender,Puneri Paltan,8,10,,,10,10,,1.25,,,,,,1
balbir singh,All Rounder,Jaipur Pink Panthers,8,9,7,9,,,1.13,,2,,,,,1
simon kibura,Raider,Puneri Paltan,4,8,5,6,2,2,3,0.5,1,,,,,1
swapnil dilip shinde,Defender,Puneri Paltan,8,8,,,8,8,,1,,,,,,1
suresu kumar,Raider,U Mumba,3,6,6,6,,,2,0,1,,,,,1
ehsan zamani fard,Defender,Dabang Delhi,8,6,3,4,2,2,0.5,0.25,,,,,,1
chandran ranjit,Raider,Telugu Titans,6,6,4,6,,,1,0,,,,,,1
jeeva gopal,Defender,U Mumba,11,6,,,6,6,,0.55,,,,,,1
wajid ali,All Rounder,Telugu Titans,4,5,3,4,1,1,,0.25,,,,,,1
kuldeep singh,Defender,Patna Pirates,3,5,,,4,5,,1.67,,,1,,,1
dadaso balaso awad,All Rounder,Dabang Delhi,5,5,,,4,5,,1,,,1,,,1
sinotharan kanesharajah,Raider,Bengaluru Bulls,1,5,2,4,1,1,,,,1,,,,1
seong ryeol kim,Defender,Bengal Warriors,3,5,,,5,5,,1.67,,,,,,1
punit kumar teotia,Raider,Dabang Delhi,4,5,2,3,2,2,0.75,0.5,,,,,,1
mandeep kumar,Raider,Patna Pirates,7,5,2,5,,,1,0,,1,,,,1
rupesh tomar,All Rounder,Telugu Titans,5,5,1,1,3,4,,0.8,,,1,,,1
vikas tomar,Defender,Puneri Paltan,8,5,,,4,5,,0.63,,,1,,,1
prashanth kumar rai,Raider,Telugu Titans,7,5,5,5,,,0.71,0,,,,,,1
rakesh singh kumar,Defender,Dabang Delhi,9,4,1,1,3,3,,0.33,,,,,,1
gurchet singh,All Rounder,Bengaluru Bulls,4,4,1,1,3,3,0.25,0.75,,,,,,1
sunil hanumanthappa,Raider,Bengaluru Bulls,5,4,1,2,2,2,,,,,,,,1
