Team,Matches_Played,Total_points_scored,Total_points_conceded,Avg_points_scored,Successful_raids,Raid_points,Avg_raid_points,Successful_tackles,Tackle_points,Avg_tackle_points,Super_raid,Super_tackles,Do_or_Dies_raid_points,All_outs_inflicted,All_outs_conceded,Season,SPT
U Mumba,14,399,418,24.85,188,227,16.21,110,121,8.64,4,11,42,15,21,4,9
Bengal Warriors,14,378,438,23.35,167,202,14.43,117,125,8.93,4,8,62,11,15,4,8
Bengaluru Bulls,14,360,415,23.21,157,201,14.36,109,124,8.86,4,15,59,9,21,4,7
Patna Pirates,16,594,468,31.62,241,324,20.25,175,182,11.38,16,7,74,30,13,3,40
Puneri Paltan,16,510,433,27.37,203,251,15.69,174,187,11.69,9,13,87,25,13,3,34
U Mumba,16,502,397,26.37,206,253,15.81,163,169,10.56,7,6,59,27,12,3,28
Bengal Warriors,16,460,449,25,213,250,15.63,137,150,9.38,4,13,70,17,18,3,16
Telugu Titans,14,427,437,26.42,206,254,18.14,101,116,8.29,3,15,44,13,17,3,14
Dabang Delhi,14,384,525,24.57,171,233,16.64,98,111,7.93,5,13,54,9,28,3,-1
Jaipur Pink Panthers,14,364,427,22.14,149,193,13.79,101,117,8.36,8,16,59,11,22,3,13
Bengaluru Bulls,14,362,467,22.07,158,209,14.93,94,100,7.14,9,7,69,12,21,3,7
Telugu Titans,16,586,493,32.25,265,344,21.5,158,172,10.75,16,16,66,26,15,2,43
Bengaluru Bulls,16,508,457,26,194,252,15.75,158,164,10.25,10,7,80,25,16,2,26
U Mumba,16,489,426,27.06,187,237,14.81,180,196,12.25,7,16,81,20,14,2,29
Patna Pirates,16,444,489,24.5,182,228,14.25,152,164,10.25,4,13,60,13,21,2,9
Jaipur Pink Panthers,14,442,399,26.71,183,232,16.57,124,142,10.14,5,18,47,17,12,2,28
Dabang Delhi,14,396,464,25.21,159,217,15.5,122,136,9.71,14,14,61,13,20,2,21
Puneri Paltan,14,391,465,24.07,170,223,15.93,104,114,8.14,8,11,56,12,21,2,10
Bengal Warriors,14,367,430,22.85,134,184,13.14,116,136,9.71,9,21,59,10,17,2,23
Jaipur Pink Panthers,16,579,458,32.12,270,344,21.5,158,170,10.63,9,12,50,29,15,1,35
U Mumba,16,550,499,31.5,270,347,21.69,145,157,9.81,12,12,40,21,19,1,26
Patna Pirates,16,504,487,28.62,253,316,19.75,124,142,8.88,13,18,42,18,17,1,32
Bengaluru Bulls,16,498,479,28.37,225,291,18.19,153,163,10.19,7,10,40,20,15,1,22
Telugu Titans,14,497,474,31.42,272,336,24,96,104,7.43,8,8,31,25,14,1,27
Dabang Delhi,14,456,471,29.92,246,285,20.36,124,134,9.57,5,10,31,18,23,1,10
Bengal Warriors,14,430,515,28.92,213,283,20.21,106,122,8.71,11,16,30,11,25,1,13
Puneri Paltan,14,405,536,26.85,204,269,19.21,93,107,7.64,11,14,48,12,26,1,11
