player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
amit,14,6,2,0,0,0,0,0,0,0,1,0,6,0.35,31,19.35%,6
vishal mane,122,193,6,50%,2,0,0,0,0,0,9,8,193,1.5,497,38.83%,All
vishal mane,17,21,3,0,0,0,0,0,0,0,0,0,21,1.23,63,33.33%,7
vishal mane,22,38,6,0,0,0,0,0,0,0,2,3,38,1.63,95,40%,6
vishal mane,26,39,6,100%,1,0,0,0,0,0,3,1,39,1.38,113,34.51%,5
vishal mane,14,31,6,0,1,0,0,0,0,0,3,2,31,2,66,46.96%,4
vishal mane,13,16,3,0,0,0,0,0,0,0,0,0,16,1.23,35,45.71%,3
vishal mane,14,26,5,0,0,0,0,0,0,0,0,1,26,1.85,53,49.05%,2
vishal mane,16,20,5,0,0,0,0,0,0,0,1,1,20,1.18,65,30.76%,1
c  arun,85,109,8,90.90%,33,12.12,0,0,4,0.04,15,3,105,1.05,269,39.03%,All
c  arun,16,21,6,100%,3,66.66,0,0,2,0.12,3,1,19,1,52,36.53%,7
c  arun,16,8,2,100%,3,0,0,0,0,0,0,0,8,0.5,36,22.22%,6
c  arun,20,36,8,93.75%,16,6.25,0,0,1,0.05,5,1,35,1.5,83,42.16%,5
c  arun,14,15,3,100%,2,0,0,0,0,0,1,0,15,1,40,37.50%,4
c  arun,11,18,7,77.77%,9,11.11,0,0,1,0.09,5,1,17,1.09,35,48.57%,3
c  arun,8,11,3,0,0,0,0,0,0,0,1,0,11,1.25,23,47.82%,2
anil kumar,51,74,4,84.84%,33,9.09,0,0,3,0.05,4,0,71,1.31,178,39.88%,All
anil kumar,13,20,4,100%,3,0,0,0,0,0,0,0,20,1.53,57,35.08%,7
anil kumar,18,30,4,77.77%,9,11.11,0,0,1,0.05,4,0,29,1.38,60,48.33%,6
anil kumar,5,1,1,100%,4,0,0,0,0,0,0,0,1,0.2,3,33.33%,5
anil kumar,4,2,2,100%,2,0,0,0,0,0,0,0,2,0.5,7,28.57%,4
anil kumar,11,21,4,80%,15,13.33,0,0,2,0.18,0,0,19,1.72,51,37.25%,3
sushil gulia,7,20,8,68.75%,48,39.58,2,0,19,2.71,0,0,1,0.14,4,25%,All
sushil gulia,7,20,8,68.75%,48,39.58,2,0,19,2.71,0,0,1,0.14,4,25%,7
ajinkya ashok pawar,31,94,9,70.30%,229,39.3,1,0,90,2.9,1,0,4,0.09,15,26.66%,All
ajinkya ashok pawar,14,19,5,62.12%,66,28.78,0,0,19,1.35,0,0,0,0,2,0,7
ajinkya ashok pawar,17,75,9,73.61%,163,43.55,1,0,71,4.17,1,0,4,0.17,13,30.76%,6
shubham shinde,23,30,3,89.47%,19,5.26,0,0,1,0.04,5,0,29,1.04,82,35.36%,All
shubham shinde,13,18,3,100%,8,12.5,0,0,1,0.07,2,0,17,1.15,44,38.63%,7
shubham shinde,10,12,3,81.81%,11,0,0,0,0,0,3,0,12,0.9,38,31.57%,6
harendra kumar,15,17,5,0,0,0,0,0,0,0,1,1,17,1.06,51,33.33%,All
harendra kumar,15,17,5,0,0,0,0,0,0,0,1,1,17,1.06,51,33.33%,7
mohit sehrawat,12,17,5,76.74%,43,11.62,0,0,5,0.41,2,1,12,0.83,31,38.70%,All
mohit sehrawat,12,17,5,76.74%,43,11.62,0,0,5,0.41,2,1,12,0.83,31,38.70%,7
hadi tajik,27,27,4,50%,18,27.77,0,0,5,0.18,1,0,22,0.77,68,32.35%,All
hadi tajik,11,17,4,66.66%,6,16.66,0,0,1,0.09,1,0,16,1.36,37,43.24%,7
hadi tajik,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
hadi tajik,9,9,2,41.66%,12,33.33,0,0,4,0.44,0,0,5,0.55,23,21.73%,5
hadi tajik,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,100%,4
hadi tajik,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
pankaj,21,33,6,57.14%,7,0,0,0,0,0,0,1,33,1.57,83,39.75%,All
pankaj,7,16,6,100%,1,0,0,0,0,0,0,1,16,2.28,31,51.61%,7
pankaj,1,1,1,0,0,0,0,0,0,0,0,0,1,1,3,33.33%,6
pankaj,13,16,3,50%,6,0,0,0,0,0,0,0,16,1.23,49,32.65%,5
banty,10,15,4,62.50%,32,40.62,0,0,13,1.3,0,0,2,0.2,5,40%,All
banty,10,15,4,62.50%,32,40.62,0,0,13,1.3,0,0,2,0.2,5,40%,7
sumit malik,14,15,4,0,0,0,0,0,0,0,1,0,15,1,32,46.87%,All
sumit malik,14,15,4,0,0,0,0,0,0,0,1,0,15,1,32,46.87%,7
ajeet,14,14,3,0,0,0,0,0,0,0,1,0,14,0.92,51,27.45%,All
ajeet,14,14,3,0,0,0,0,0,0,0,1,0,14,0.92,51,27.45%,7
santhapanaselvam,30,43,4,100%,1,0,0,0,0,0,3,0,43,1.33,103,41.74%,All
santhapanaselvam,6,14,4,0,0,0,0,0,0,0,1,0,14,2.16,26,53.84%,7
santhapanaselvam,14,14,3,100%,1,0,0,0,0,0,2,0,14,0.85,46,30.43%,6
santhapanaselvam,10,15,3,0,0,0,0,0,0,0,0,0,15,1.5,31,48.38%,5
vineet sharma,40,63,6,79.81%,213,18.3,0,0,39,0.97,2,0,24,0.55,71,33.80%,All
vineet sharma,10,14,5,68.75%,16,43.75,0,0,7,0.7,1,0,7,0.6,14,50%,7
vineet sharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
vineet sharma,18,30,4,86.53%,104,15.38,0,0,16,0.88,1,0,14,0.72,41,34.14%,5
vineet sharma,4,9,6,78.37%,37,21.62,0,0,8,2,0,0,1,0.25,4,25%,4
vineet sharma,8,10,4,71.42%,56,14.28,0,0,8,1,0,0,2,0.25,12,16.66%,3
sagar b krishna,58,70,7,89.47%,19,5.26,0,0,1,0.01,7,5,69,1.06,146,47.26%,All
sagar b krishna,10,13,7,0,0,0,0,0,0,0,3,1,13,1,23,56.52%,7
sagar b krishna,20,18,5,88.88%,9,0,0,0,0,0,1,1,18,0.85,45,40%,6
sagar b krishna,17,33,6,90%,10,10,0,0,1,0.05,3,3,32,1.7,62,51.61%,5
sagar b krishna,11,6,2,0,0,0,0,0,0,0,0,0,6,0.54,16,37.50%,4
amit kumar,11,17,3,92.59%,54,7.4,0,0,4,0.36,2,0,13,1,29,44.82%,All
amit kumar,9,13,3,93.61%,47,6.38,0,0,3,0.33,2,0,10,0.88,21,47.61%,7
amit kumar,2,4,3,85.71%,7,14.28,0,0,1,0.5,0,0,3,1.5,8,37.50%,6
amit kumar,5,13,5,56%,25,44,0,0,11,2.2,1,0,2,0.2,2,100%,All
amit kumar,5,13,5,56%,25,44,0,0,11,2.2,1,0,2,0.2,2,100%,7
ankit,12,13,3,0,0,0,0,0,0,0,2,0,13,0.91,31,41.93%,All
ankit,12,13,3,0,0,0,0,0,0,0,2,0,13,0.91,31,41.93%,7
selvamani k,55,155,11,79.03%,353,42.2,7,2,149,2.7,0,0,6,0.1,28,21.42%,All
selvamani k,6,12,5,71.42%,35,28.57,1,0,10,1.66,0,0,2,0.33,3,66.66%,7
selvamani k,15,41,11,76.82%,82,46.34,3,1,38,2.53,0,0,3,0.2,9,33.33%,6
selvamani k,3,4,2,57.14%,14,28.57,0,0,4,1.33,0,0,0,0,0,0,5
selvamani k,13,45,7,82.07%,106,42.45,1,0,45,3.46,0,0,0,0,8,0,4
selvamani k,8,39,10,83.69%,92,41.3,1,1,38,4.75,0,0,1,0.12,6,16.66%,3
selvamani k,10,14,5,79.16%,24,58.33,1,0,14,1.4,0,0,0,0,2,0,2
sachin narwal,11,12,4,78.12%,32,34.37,1,0,11,1,0,0,1,0.09,5,20%,All
sachin narwal,11,12,4,78.12%,32,34.37,1,0,11,1,0,0,1,0.09,5,20%,7
pavan t  r ,13,11,3,0,0,0,0,0,0,0,2,0,11,0.69,31,35.48%,All
pavan t  r ,13,11,3,0,0,0,0,0,0,0,2,0,11,0.69,31,35.48%,7
surender singh,48,145,11,69.37%,320,42.5,4,2,136,2.83,0,0,9,0.18,53,16.98%,All
surender singh,4,11,5,52.17%,23,43.47,0,0,10,2.5,0,0,1,0.25,4,25%,7
surender singh,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6
surender singh,18,70,11,73.28%,131,51.9,2,2,68,3.77,0,0,2,0.11,23,8.69%,5
surender singh,11,11,3,58.13%,43,20.93,0,0,9,0.81,0,0,2,0.18,8,25%,4
surender singh,12,45,9,74.52%,106,41.5,2,0,44,3.66,0,0,1,0.08,11,9.09%,3
surender singh,2,8,6,62.50%,16,31.25,0,0,5,2.5,0,0,3,1.5,6,50%,2
dong geon lee,32,70,10,73.41%,158,44.3,1,1,70,2.18,0,0,0,0,6,0,All
dong geon lee,4,10,6,72%,25,40,0,0,10,2.5,0,0,0,0,0,0,7
dong geon lee,11,31,10,76.92%,65,47.69,1,1,31,2.81,0,0,0,0,1,0,6
dong geon lee,17,29,5,70.58%,68,42.64,0,0,29,1.7,0,0,0,0,5,0,5
ruturaj shivaji koravi,36,57,5,100%,3,0,0,0,0,0,3,1,57,1.5,156,36.53%,All
ruturaj shivaji koravi,13,10,2,0,0,0,0,0,0,0,0,0,10,0.76,35,28.57%,7
ruturaj shivaji koravi,23,47,5,100%,3,0,0,0,0,0,3,1,47,1.91,121,38.84%,6
armaan,10,24,13,61.81%,55,40,2,1,22,2.2,1,0,2,0.1,8,25%,All
armaan,6,9,4,59.37%,32,28.12,1,0,9,1.5,0,0,0,0,7,0,7
armaan,4,15,13,65.21%,23,56.52,1,1,13,3.25,1,0,2,0.25,1,200%,6
sunil siddhgavali,41,63,8,89.47%,19,26.31,0,0,5,0.12,7,5,58,1.24,164,35.36%,All
sunil siddhgavali,13,9,2,100%,2,0,0,0,0,0,3,0,9,0.46,39,23.07%,7
sunil siddhgavali,16,38,8,86.66%,15,33.33,0,0,5,0.31,3,4,33,1.87,81,40.74%,6
sunil siddhgavali,12,16,6,100%,2,0,0,0,0,0,1,1,16,1.25,44,36.36%,5
sagar,9,9,3,0,1,0,0,0,0,0,1,0,9,0.88,18,50%,All
sagar,9,9,3,0,1,0,0,0,0,0,1,0,9,0.88,18,50%,7
sushant sail,7,8,3,52.38%,21,38.09,0,0,8,1.14,0,0,0,0,1,0,All
sushant sail,7,8,3,52.38%,21,38.09,0,0,8,1.14,0,0,0,0,1,0,7
kuldeep singh,36,65,6,66.66%,3,33.33,0,0,1,0.02,5,3,64,1.63,145,44.13%,All
kuldeep singh,9,8,3,0,0,0,0,0,0,0,0,0,8,0.88,28,28.57%,7
kuldeep singh,22,49,6,100%,2,0,0,0,0,0,4,2,49,2.04,105,46.66%,6
kuldeep singh,5,8,6,0,1,100,0,0,1,0.2,1,1,7,1.2,12,58.33%,5
victor onyango obiero,6,14,5,66.66%,15,80,0,0,12,2,1,0,2,0.16,5,40%,All
victor onyango obiero,3,8,5,75%,8,75,0,0,6,2,1,0,2,0.33,5,40%,7
victor onyango obiero,3,6,5,57.14%,7,85.71,0,0,6,2,0,0,0,0,0,0,6
ankit beniwal,6,8,2,52.63%,19,36.84,0,0,7,1.16,0,0,1,0.16,2,50%,All
ankit beniwal,5,8,2,56.25%,16,43.75,0,0,7,1.4,0,0,1,0.2,2,50%,7
ankit beniwal,1,0,0,33.33%,3,0,0,0,0,0,0,0,0,0,0,0,6
saeid ghaffari,9,8,4,100%,1,0,0,0,0,0,0,0,8,0.88,20,40%,All
saeid ghaffari,9,8,4,100%,1,0,0,0,0,0,0,0,8,0.88,20,40%,7
mohsen maghsoudloujafari,45,110,12,74.77%,218,33.94,2,1,74,1.64,4,0,36,0.71,76,47.36%,All
mohsen maghsoudloujafari,10,7,2,56.52%,23,17.39,0,0,4,0.4,1,0,3,0.2,8,37.50%,7
mohsen maghsoudloujafari,19,56,7,77.67%,112,25.89,0,0,29,1.52,2,0,27,1.31,52,51.92%,6
mohsen maghsoudloujafari,16,47,12,75.90%,83,49.39,2,1,41,2.56,1,0,6,0.31,16,37.50%,5
ankush,3,7,4,66.66%,6,100,0,0,6,2,0,0,1,0.33,1,100%,All
ankush,3,7,4,66.66%,6,100,0,0,6,2,0,0,1,0.33,1,100%,7
viraj vishnu landge,34,29,3,0,0,0,0,0,0,0,0,0,29,0.85,112,25.89%,All
viraj vishnu landge,8,7,3,0,0,0,0,0,0,0,0,0,7,0.87,31,22.58%,7
viraj vishnu landge,7,6,2,0,0,0,0,0,0,0,0,0,6,0.85,29,20.68%,6
viraj vishnu landge,19,16,2,0,0,0,0,0,0,0,0,0,16,0.84,52,30.76%,5
vinod kumar,45,106,8,76.36%,165,37.57,2,0,62,1.37,9,2,44,0.77,68,64.70%,All
vinod kumar,7,7,3,68.18%,22,27.27,0,0,6,0.85,0,0,1,0.14,4,25%,7
vinod kumar,17,51,7,83.82%,68,32.35,0,0,22,1.29,4,2,29,1.47,43,67.44%,6
vinod kumar,21,48,8,72%,75,45.33,2,0,34,1.61,5,0,14,0.42,21,66.66%,5
sanket sawant,5,7,3,0,0,0,0,0,0,0,0,0,7,1.4,21,33.33%,All
sanket sawant,5,7,3,0,0,0,0,0,0,0,0,0,7,1.4,21,33.33%,7
chand singh,7,6,3,100%,1,100,0,0,1,0.14,1,0,5,0.57,15,33.33%,All
chand singh,7,6,3,100%,1,100,0,0,1,0.14,1,0,5,0.57,15,33.33%,7
anand,8,14,8,70%,30,46.66,1,0,14,1.75,0,0,0,0,3,0,All
anand,5,6,4,61.53%,13,46.15,1,0,6,1.2,0,0,0,0,3,0,7
anand,3,8,8,76.47%,17,47.05,0,0,8,2.66,0,0,0,0,0,0,6
azad singh,13,29,8,67.56%,74,36.48,1,0,27,2.07,0,0,2,0.15,6,33.33%,All
azad singh,4,6,3,65.38%,26,23.07,0,0,6,1.5,0,0,0,0,1,0,7
azad singh,9,23,8,68.75%,48,43.75,1,0,21,2.33,0,0,2,0.22,5,40%,6
ankit,12,9,3,90.90%,11,0,0,0,0,0,1,0,9,0.66,28,32.14%,All
ankit,6,6,3,88.88%,9,0,0,0,0,0,1,0,6,0.83,17,35.29%,7
ankit,6,3,1,100%,2,0,0,0,0,0,0,0,3,0.5,11,27.27%,6
m  abishek,5,6,3,0,0,0,0,0,0,0,0,0,6,1.2,15,40%,All
m  abishek,5,6,3,0,0,0,0,0,0,0,0,0,6,1.2,15,40%,7
young chang ko,37,23,5,0,0,0,0,0,0,0,6,1,23,0.45,74,31.08%,All
young chang ko,10,6,4,0,0,0,0,0,0,0,2,0,6,0.4,13,46.15%,7
young chang ko,13,15,5,0,0,0,0,0,0,0,4,1,15,0.84,34,44.11%,6
young chang ko,14,2,1,0,0,0,0,0,0,0,0,0,2,0.14,27,7.40%,5
abolfazl maghsodloumahali,47,152,11,75.56%,356,40.44,4,0,144,3.06,1,0,8,0.14,22,36.36%,All
abolfazl maghsodloumahali,6,5,4,40%,10,50,0,0,5,0.83,0,0,0,0,0,0,7
abolfazl maghsodloumahali,10,25,5,75.32%,77,29.87,2,0,23,2.3,0,0,2,0.2,7,28.57%,6
abolfazl maghsodloumahali,19,97,11,79.56%,230,39.56,0,0,91,4.78,1,0,6,0.26,14,42.85%,5
abolfazl maghsodloumahali,9,25,9,62.16%,37,67.56,2,0,25,2.77,0,0,0,0,1,0,4
abolfazl maghsodloumahali,3,0,0,50%,2,0,0,0,0,0,0,0,0,0,0,0,3
ashish kumar,82,156,7,81.62%,185,24.32,0,0,45,0.54,13,4,111,1.19,270,41.11%,All
ashish kumar,6,5,4,81.81%,11,0,0,0,0,0,2,0,5,0.5,19,26.31%,7
ashish kumar,24,45,7,92.59%,27,18.51,0,0,5,0.2,3,1,40,1.54,87,45.97%,6
ashish kumar,20,32,6,75.71%,70,24.28,0,0,17,0.85,1,1,15,0.7,49,30.61%,5
ashish kumar,14,37,7,81.25%,48,29.16,0,0,14,1,6,1,23,1.21,44,52.27%,4
ashish kumar,13,32,7,84.21%,19,36.84,0,0,7,0.53,0,1,25,1.92,61,40.98%,3
ashish kumar,5,5,4,90%,10,20,0,0,2,0.4,1,0,3,0.4,10,30%,2
amit kumar,3,5,4,75%,8,62.5,1,0,5,1.66,0,0,0,0,1,0,All
amit kumar,3,5,4,75%,8,62.5,1,0,5,1.66,0,0,0,0,1,0,7
ashish,7,5,2,50%,16,31.25,0,0,5,0.71,0,0,0,0,2,0,All
ashish,7,5,2,50%,16,31.25,0,0,5,0.71,0,0,0,0,2,0,7
vijay kumar,21,14,3,88.88%,9,33.33,0,0,3,0.14,3,0,11,0.38,39,28.20%,All
vijay kumar,9,5,3,100%,4,0,0,0,0,0,1,0,5,0.44,16,31.25%,7
vijay kumar,4,3,2,100%,2,100,0,0,2,0.5,0,0,1,0.25,11,9.09%,6
vijay kumar,8,6,3,66.66%,3,33.33,0,0,1,0.12,2,0,5,0.37,12,41.66%,5
lalit chaudhary,7,12,5,44.44%,18,27.77,0,0,5,0.71,2,0,7,0.71,6,116.66%,All
lalit chaudhary,4,5,3,45.45%,11,18.18,0,0,2,0.5,1,0,3,0.5,2,150%,7
lalit chaudhary,3,7,5,42.85%,7,42.85,0,0,3,1,1,0,4,1,4,100%,6
mayur shivtarkar,29,33,3,68.85%,61,14.75,0,0,9,0.31,0,0,24,0.82,88,27.27%,All
mayur shivtarkar,6,4,2,0,0,0,0,0,0,0,0,0,4,0.66,21,19.04%,7
mayur shivtarkar,18,23,3,77.77%,36,11.11,0,0,4,0.22,0,0,19,1.05,65,29.23%,6
mayur shivtarkar,5,6,3,56%,25,20,0,0,5,1,0,0,1,0.2,2,50%,5
purna singh,6,4,1,75%,12,33.33,0,0,4,0.66,0,0,0,0,2,0,All
purna singh,6,4,1,75%,12,33.33,0,0,4,0.66,0,0,0,0,2,0,7
purna singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
parveen,25,32,6,85.71%,7,42.85,0,0,3,0.12,6,1,29,0.92,75,38.66%,All
parveen,6,4,4,0,0,0,0,0,0,0,1,0,4,0.5,15,26.66%,7
parveen,19,28,6,85.71%,7,42.85,0,0,3,0.15,5,1,25,1.05,60,41.66%,6
ajay,15,8,2,100%,4,50,0,0,2,0.13,0,0,6,0.4,31,19.35%,All
ajay,8,4,2,100%,4,50,0,0,2,0.25,0,0,2,0.25,17,11.76%,7
ajay,7,4,2,0,0,0,0,0,0,0,0,0,4,0.57,14,28.57%,6
sachin kumar,46,79,7,84.54%,110,23.63,0,0,26,0.56,5,3,53,1.04,136,38.97%,All
sachin kumar,12,4,2,92.85%,14,0,0,0,0,0,1,0,4,0.25,11,36.36%,7
sachin kumar,25,68,7,84.26%,89,28.08,0,0,25,1,4,2,43,1.56,101,42.57%,6
sachin kumar,9,7,5,71.42%,7,14.28,0,0,1,0.11,0,1,6,0.66,24,25%,5
sachin kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
sachin kumar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
gurvinder singh,45,100,11,74.66%,225,36.44,2,1,82,1.82,1,0,18,0.37,65,27.69%,All
gurvinder singh,2,4,3,42.85%,7,57.14,0,0,4,2,0,0,0,0,0,0,7
gurvinder singh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
gurvinder singh,9,24,7,78.37%,37,45.94,1,0,17,1.88,0,0,7,0.77,20,35%,5
gurvinder singh,6,4,1,76.47%,17,23.52,0,0,4,0.66,0,0,0,0,5,0,4
gurvinder singh,5,6,4,83.33%,12,33.33,0,0,4,0.8,0,0,2,0.4,5,40%,3
gurvinder singh,16,49,11,76.11%,134,32.83,1,1,44,2.75,0,0,5,0.31,22,22.72%,2
gurvinder singh,7,13,5,61.11%,18,50,0,0,9,1.28,1,0,4,0.42,13,30.76%,1
krushna madane,14,16,4,84.61%,13,7.69,0,0,1,0.07,0,0,15,1.07,39,38.46%,All
krushna madane,7,4,2,100%,8,0,0,0,0,0,0,0,4,0.57,14,28.57%,7
krushna madane,6,12,4,100%,3,33.33,0,0,1,0.16,0,0,11,1.83,25,44%,6
krushna madane,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
darshan kadian,37,96,10,74.02%,231,36.79,2,1,85,2.29,3,0,11,0.21,41,26.82%,All
darshan kadian,5,4,2,76.47%,17,17.64,0,0,3,0.6,0,0,1,0.2,7,14.28%,7
darshan kadian,14,50,10,79.43%,141,34.75,1,1,49,3.5,0,0,1,0.07,3,33.33%,6
darshan kadian,16,40,8,63.88%,72,45.83,1,0,33,2.06,3,0,7,0.25,23,30.43%,5
darshan kadian,2,2,2,0,1,0,0,0,0,0,0,0,2,1,8,25%,4
jawahar dagar,45,64,5,70.96%,31,29.03,0,0,9,0.2,6,2,55,1.08,156,35.25%,All
jawahar dagar,6,4,2,100%,1,0,0,0,0,0,0,0,4,0.66,16,25%,7
jawahar dagar,15,23,5,60%,5,60,0,0,3,0.2,3,2,20,1.13,59,33.89%,6
jawahar dagar,18,35,4,78.26%,23,26.08,0,0,6,0.33,3,0,29,1.44,69,42.02%,5
jawahar dagar,6,2,1,0,2,0,0,0,0,0,0,0,2,0.33,12,16.66%,4
elavarasan a,3,4,3,0,0,0,0,0,0,0,1,0,4,1,10,40%,All
elavarasan a,3,4,3,0,0,0,0,0,0,0,1,0,4,1,10,40%,7
harmanjit singh,3,4,4,72.72%,11,36.36,0,0,4,1.33,0,0,0,0,0,0,All
harmanjit singh,3,4,4,72.72%,11,36.36,0,0,4,1.33,0,0,0,0,0,0,7
ravinder,5,3,3,0,0,0,0,0,0,0,1,0,3,0.4,8,37.50%,All
ravinder,5,3,3,0,0,0,0,0,0,0,1,0,3,0.4,8,37.50%,7
rakesh narwal,25,52,6,77.95%,127,39.37,4,0,50,2,0,0,2,0.08,13,15.38%,All
rakesh narwal,1,3,3,50%,2,150,0,0,3,3,0,0,0,0,0,0,7
rakesh narwal,6,10,3,58.82%,17,52.94,1,0,9,1.5,0,0,1,0.16,3,33.33%,6
rakesh narwal,6,18,6,85.71%,56,30.35,1,0,17,2.83,0,0,1,0.16,3,33.33%,5
rakesh narwal,1,0,0,75%,4,0,0,0,0,0,0,0,0,0,1,0,4
rakesh narwal,11,21,5,77.08%,48,43.75,2,0,21,1.9,0,0,0,0,6,0,3
adarsh t,19,17,4,100%,1,200,0,0,2,0.1,3,0,15,0.63,32,46.87%,All
adarsh t,9,3,2,0,0,0,0,0,0,0,0,0,3,0.33,9,33.33%,7
adarsh t,10,14,4,100%,1,200,0,0,2,0.2,3,0,12,0.9,23,52.17%,6
aman kadian,3,2,1,57.14%,7,28.57,0,0,2,0.66,0,0,0,0,1,0,All
aman kadian,2,2,1,75%,4,50,0,0,2,1,0,0,0,0,1,0,7
aman kadian,1,0,0,33.33%,3,0,0,0,0,0,0,0,0,0,0,0,6
arun kumar hn,4,3,2,33.33%,9,33.33,0,0,3,0.75,0,0,0,0,1,0,All
arun kumar hn,2,2,2,25%,4,50,0,0,2,1,0,0,0,0,0,0,7
arun kumar hn,2,1,1,40%,5,20,0,0,1,0.5,0,0,0,0,1,0,6
ponparthiban subramanian,17,19,7,0,0,0,0,0,0,0,1,1,19,1.05,58,32.75%,All
ponparthiban subramanian,5,2,1,0,0,0,0,0,0,0,0,0,2,0.4,7,28.57%,7
ponparthiban subramanian,12,17,7,0,0,0,0,0,0,0,1,1,17,1.33,51,33.33%,6
kamal singh,11,17,6,76.74%,43,30.23,0,0,13,1.18,1,0,4,0.27,12,33.33%,All
kamal singh,3,2,2,75%,8,0,0,0,0,0,0,0,2,0.66,6,33.33%,7
kamal singh,8,15,6,77.14%,35,37.14,0,0,13,1.62,1,0,2,0.12,6,33.33%,6
gurdeep,2,2,2,0,0,0,0,0,0,0,0,0,2,1,3,66.66%,All
gurdeep,2,2,2,0,0,0,0,0,0,0,0,0,2,1,3,66.66%,7
rajaguru subramanian,45,55,4,85.71%,7,14.28,0,0,1,0.02,3,0,54,1.13,145,37.24%,All
rajaguru subramanian,4,2,2,100%,2,0,0,0,0,0,0,0,2,0.5,5,40%,7
rajaguru subramanian,8,10,2,0,0,0,0,0,0,0,0,0,10,1.25,21,47.61%,6
rajaguru subramanian,7,6,2,100%,3,0,0,0,0,0,0,0,6,0.85,22,27.27%,5
rajaguru subramanian,12,18,3,50%,2,50,0,0,1,0.08,2,0,17,1.25,42,40.47%,4
rajaguru subramanian,14,19,4,0,0,0,0,0,0,0,1,0,19,1.28,55,34.54%,3
ravindra ramesh kumawat,18,49,8,74.33%,113,37.16,2,0,42,2.33,0,0,7,0.38,21,33.33%,All
ravindra ramesh kumawat,2,2,2,57.14%,7,14.28,0,0,1,0.5,0,0,1,0.5,1,100%,7
ravindra ramesh kumawat,12,42,8,78.02%,91,40.65,2,0,37,3.08,0,0,5,0.41,18,27.77%,6
ravindra ramesh kumawat,2,2,2,57.14%,7,28.57,0,0,2,1,0,0,0,0,1,0,5
ravindra ramesh kumawat,2,3,2,62.50%,8,25,0,0,2,1,0,0,1,0.5,1,100%,4
balram,1,2,2,100%,2,100,0,0,2,2,0,0,0,0,0,0,All
balram,1,2,2,100%,2,100,0,0,2,2,0,0,0,0,0,0,7
palle mallikarjun,3,2,1,50%,10,20,0,0,2,0.66,0,0,0,0,1,0,All
palle mallikarjun,3,2,1,50%,10,20,0,0,2,0.66,0,0,0,0,1,0,7
naveen narwal,3,1,1,0,0,0,0,0,0,0,0,0,1,0.33,8,12.50%,All
naveen narwal,3,1,1,0,0,0,0,0,0,0,0,0,1,0.33,8,12.50%,7
vikas chhillar,1,1,1,50%,2,50,0,0,1,1,0,0,0,0,0,0,All
vikas chhillar,1,1,1,50%,2,50,0,0,1,1,0,0,0,0,0,0,7
mohammad taghi paein mahali,3,1,1,25%,4,0,0,0,0,0,0,0,1,0.33,4,25%,All
mohammad taghi paein mahali,3,1,1,25%,4,0,0,0,0,0,0,0,1,0.33,4,25%,7
ajinkya rohidas kapre,2,1,1,60%,5,20,0,0,1,0.5,0,0,0,0,1,0,All
ajinkya rohidas kapre,2,1,1,60%,5,20,0,0,1,0.5,0,0,0,0,1,0,7
satywan,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,50%,All
satywan,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,50%,7
aman,2,1,1,0,0,0,0,0,0,0,0,0,1,0.5,4,25%,All
aman,2,1,1,0,0,0,0,0,0,0,0,0,1,0.5,4,25%,7
emad sedaghatnia,1,1,1,50%,4,25,0,0,1,1,0,0,0,0,3,0,All
emad sedaghatnia,1,1,1,50%,4,25,0,0,1,1,0,0,0,0,3,0,7
