player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
suraj desai,12,45,18,69.90%,103,42.71,1,1,44,3.66,0,0,1,0.08,7,14.28%,7
suraj desai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
suraj desai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
farhad rahimi milaghardan,56,120,5,80%,145,34.48,0,0,50,0.89,4,1,70,1.17,179,39.10%,All
farhad rahimi milaghardan,16,45,5,83.58%,67,32.83,0,0,22,1.37,0,0,23,1.43,56,41.07%,7
farhad rahimi milaghardan,22,47,5,81.66%,60,36.66,0,0,22,1,4,1,25,0.95,69,36.23%,6
farhad rahimi milaghardan,18,28,4,61.11%,18,33.33,0,0,6,0.33,0,0,22,1.22,54,40.74%,5
rohit baliyan,66,294,11,80.78%,609,43.51,6,3,265,4.01,2,0,29,0.4,91,31.86%,All
rohit baliyan,14,44,9,79.03%,124,32.25,2,0,40,2.85,1,0,4,0.21,10,40%,7
rohit baliyan,19,108,11,83.51%,188,50,1,0,94,4.94,1,0,14,0.68,32,43.75%,6
rohit baliyan,17,74,11,79.39%,165,39.39,1,1,65,3.82,0,0,9,0.52,28,32.14%,5
rohit baliyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
rohit baliyan,11,56,11,81.30%,107,50.46,2,2,54,4.9,0,0,2,0.18,17,11.76%,3
rohit baliyan,5,12,7,76%,25,48,0,0,12,2.4,0,0,0,0,4,0,2
nitesh kumar,61,192,8,72.72%,11,18.18,0,0,2,0.03,14,14,190,2.88,320,59.37%,All
nitesh kumar,17,44,7,0,2,50,0,0,1,0.05,5,2,43,2.23,75,57.33%,7
nitesh kumar,25,101,8,85.71%,7,14.28,0,0,1,0.04,8,8,100,3.68,154,64.93%,6
nitesh kumar,19,47,5,100%,2,0,0,0,0,0,1,4,47,2.42,91,51.64%,5
nilesh salunke,77,305,15,78.07%,716,40.64,9,5,291,3.77,2,0,14,0.15,58,24.13%,All
nilesh salunke,15,43,15,77.06%,109,37.61,1,1,41,2.73,0,0,2,0.13,6,33.33%,7
nilesh salunke,19,85,9,73.63%,201,40.29,4,0,81,4.26,0,0,4,0.21,21,19.04%,6
nilesh salunke,21,105,11,83.80%,247,39.67,2,3,98,4.66,2,0,7,0.23,18,38.88%,5
nilesh salunke,15,62,10,75.53%,139,43.88,1,1,61,4.06,0,0,1,0.06,10,10%,4
nilesh salunke,7,10,5,75%,20,50,1,0,10,1.42,0,0,0,0,3,0,3
jang kun lee,102,476,15,77.92%,1010,44.85,14,9,453,4.44,3,0,23,0.19,98,23.46%,All
jang kun lee,12,43,8,81%,100,42,0,0,42,3.5,0,0,1,0.08,9,11.11%,7
jang kun lee,18,82,12,77.77%,171,46.19,2,2,79,4.38,1,0,3,0.11,11,27.27%,6
jang kun lee,21,89,9,78.77%,212,41.98,0,0,89,4.23,0,0,0,0,12,0,5
jang kun lee,11,65,13,76.66%,120,50.83,2,2,61,5.54,0,0,4,0.36,17,23.52%,4
jang kun lee,15,90,13,83.15%,184,42.93,2,2,79,5.26,2,0,11,0.6,20,55%,3
jang kun lee,14,50,12,72.85%,140,34.28,3,1,48,3.42,0,0,2,0.14,15,13.33%,2
jang kun lee,11,57,15,71.08%,83,66.26,5,2,55,5,0,0,2,0.18,14,14.28%,1
joginder singh narwal,77,171,6,100%,6,66.66,0,0,4,0.05,10,2,167,2.03,341,48.97%,All
joginder singh narwal,17,43,6,0,0,0,0,0,0,0,4,1,43,2.29,79,54.43%,7
joginder singh narwal,22,51,5,0,0,0,0,0,0,0,4,1,51,2.13,111,45.94%,6
joginder singh narwal,8,9,3,0,0,0,0,0,0,0,0,0,9,1.12,24,37.50%,5
joginder singh narwal,16,38,6,100%,6,66.66,0,0,4,0.25,2,0,34,2,69,49.27%,4
joginder singh narwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
joginder singh narwal,14,30,4,0,0,0,0,0,0,0,0,0,30,2.14,58,51.72%,2
saurabh nandal,17,43,8,100%,1,100,0,0,1,0.05,5,4,42,2.17,78,53.84%,All
saurabh nandal,17,43,8,100%,1,100,0,0,1,0.05,5,4,42,2.17,78,53.84%,7
hadi oshtorak,68,118,5,86.53%,52,28.84,0,0,15,0.22,14,3,103,1.3,232,44.39%,All
hadi oshtorak,18,42,5,94.73%,38,21.05,0,0,8,0.44,6,1,34,1.55,74,45.94%,7
hadi oshtorak,13,18,5,81.81%,11,54.54,0,0,6,0.46,0,0,12,0.92,29,41.37%,6
hadi oshtorak,16,20,4,0,0,0,0,0,0,0,3,0,20,1.06,55,36.36%,5
hadi oshtorak,7,13,5,0,1,100,0,0,1,0.14,3,1,12,1.28,21,57.14%,4
hadi oshtorak,10,18,4,0,1,0,0,0,0,0,1,0,18,1.7,40,45%,3
hadi oshtorak,4,7,5,0,1,0,0,0,0,0,1,1,7,1.5,13,53.84%,2
sunil,37,83,6,100%,3,0,0,0,0,0,1,5,83,2.21,213,38.96%,All
sunil,15,42,6,0,0,0,0,0,0,0,1,3,42,2.73,91,46.15%,7
sunil,22,41,5,100%,3,0,0,0,0,0,0,2,41,1.86,122,33.60%,6
deepak narwal,79,309,15,74.33%,709,41.74,4,8,296,3.74,1,0,13,0.15,45,28.88%,All
deepak narwal,15,41,9,71.54%,123,32.52,0,0,40,2.66,0,0,1,0.06,6,16.66%,7
deepak narwal,17,74,13,75%,140,50,1,3,70,4.11,0,0,4,0.23,9,44.44%,6
deepak narwal,16,87,11,77.54%,187,45.45,1,4,85,5.31,0,0,2,0.12,10,20%,5
deepak narwal,6,13,5,68.51%,54,24.07,1,0,13,2.16,0,0,0,0,1,0,4
deepak narwal,9,33,15,82.75%,58,53.44,0,1,31,3.44,1,0,2,0.11,5,40%,3
deepak narwal,16,61,10,70.74%,147,38.77,1,0,57,3.56,0,0,4,0.25,14,28.57%,2
manjeet chhillar,108,563,14,81.08%,719,31.15,5,2,224,2.07,15,23,339,3,621,54.58%,All
manjeet chhillar,15,41,6,68.42%,19,21.05,0,0,4,0.26,2,2,37,2.33,81,45.67%,7
manjeet chhillar,19,67,8,79.31%,29,27.58,0,0,8,0.42,5,2,59,2.84,121,48.76%,6
manjeet chhillar,15,52,9,68.96%,29,17.24,0,0,5,0.33,1,3,47,3.06,85,55.29%,5
manjeet chhillar,12,68,11,75.32%,77,31.16,1,0,24,2,1,5,44,3.58,73,60.27%,4
manjeet chhillar,15,106,13,91.81%,171,26.31,2,0,45,3,5,5,61,3.73,99,61.61%,3
manjeet chhillar,16,107,11,85.25%,217,30.87,0,0,67,4.18,1,3,40,2.43,78,51.28%,2
manjeet chhillar,16,122,14,71.75%,177,40.11,2,2,71,4.43,0,3,51,3.18,84,60.71%,1
parvesh bhainswal,74,177,8,100%,1,0,0,0,0,0,10,10,177,2.25,320,55.31%,All
parvesh bhainswal,18,40,7,0,0,0,0,0,0,0,2,3,40,2.11,76,52.63%,7
parvesh bhainswal,25,86,8,100%,1,0,0,0,0,0,4,5,86,3.28,138,62.31%,6
parvesh bhainswal,24,48,5,0,0,0,0,0,0,0,4,2,48,1.83,89,53.93%,5
parvesh bhainswal,7,3,2,0,0,0,0,0,0,0,0,0,3,0.42,17,17.64%,4
amit sheoran,37,78,6,0,1,0,0,0,0,0,5,5,78,1.97,156,50%,All
amit sheoran,18,40,6,0,1,0,0,0,0,0,3,3,40,2.05,79,50.63%,7
amit sheoran,15,38,5,0,0,0,0,0,0,0,2,2,38,2.4,71,53.52%,6
amit sheoran,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5
vishal,23,59,9,78.57%,14,21.42,0,0,3,0.13,12,2,56,1.91,112,50%,All
vishal,12,38,9,100%,1,0,0,0,0,0,7,1,38,2.58,63,60.31%,7
vishal,6,10,3,100%,6,16.66,0,0,1,0.16,2,0,9,1.16,26,34.61%,6
vishal,5,11,7,57.14%,7,28.57,0,0,2,0.4,3,1,9,1.2,23,39.13%,5
mohammad esmaeil maghsoudlou mahalli,17,38,9,75.70%,107,28.97,0,0,31,1.82,2,0,7,0.29,19,36.84%,All
mohammad esmaeil maghsoudlou mahalli,17,38,9,75.70%,107,28.97,0,0,31,1.82,2,0,7,0.29,19,36.84%,7
dharmaraj cheralathan,114,294,9,94.25%,174,24.13,0,0,42,0.36,24,12,252,2,466,54.07%,All
